"HITID","Company","Year","Text","Worker","Answer","Date"
"3MNJFORX8B2ZVXWWN6N7H679YENF5A","Microsoft","2013","We have seen incredible results in the past decade — delivering more than $200 billion in operating profit. I’m optimistic not only as the CEO but as an investor who treasures his Microsoft stock.","A1DCGB72N1UIPT","No Social Responsibility","2018-02-03 22:38:35 UTC"
"34YWR3PJ288H0C1GQUNH6IBPLB8X0Y","Microsoft","2016","Microsoft is uniquely positioned in this era of massive business and societal transformation. We're the company that cares most deeply about computing technologies for both people and the organizations they build. Our entire purpose is to make things that help our customers make things -- and make things happen. We build the platforms upon which others build digital platforms. After all, each of us, as individuals, is trying to build something that outlasts ourselves, whether that’s a small business, a school, a clinic, or an enterprise.","A1DCGB72N1UIPT","No Social Responsibility","2018-02-03 22:38:30 UTC"
"3R16PJFTS3PSF0KAACVUSRT06EA4KX","CocaCola","2014","At the same time, we refused to let tough conditions determine our overall performance or set the course for our future. We knew we needed to move faster and execute faster, and we believed we could improve with the right changes. So we took action to reshape our organization and make the investments needed to return to our long-term growth targets.","A2B6WQG0A9CKXQ","Social Responsibility","2018-02-03 22:38:42 UTC"
"3R868ACW4SA3GBCG5E05OVEG0SVZG0","McDonalds","2016","To continue growing the business for the long term, we need to grow guest counts. In our nine largest markets, we have a 15% share of the 89 billion annual visits to Quick Service Restaurants2. There’s tremendous opportunity to increase our share","A3RYI5HXC2MJLN","{}","2018-02-03 22:38:50 UTC"
"3UV0D2KX1MHHZESW914XCE1VYISF45","Microsoft","2013","Last year in my letter to you I declared a fundamental shift in our business to a devices and services company. This transformation impacts how we run the company, how we develop new experiences, and how we take products to market for both consumers and businesses.","ATHS9CW2FLYUY","Social Responsibility","2018-02-03 22:39:17 UTC"
"359AP8GAGGI7FPQ5KXC37K02S7R7C7","Microsoft","2013","Third, in September, we also announced a new segment-reporting framework. We have five new reporting segments tightly aligned with our focus on delivering innovative devices and services for both our enterprise and consumer customers. This framework was designed to give valuable insight into our progress in the key transformations we are undertaking in our businesses to drive long-term growth.","ATHS9CW2FLYUY","No Social Responsibility","2018-02-03 22:39:10 UTC"
"3KI0JD2ZU1GIZ8H4A6Z0LK8SWLG76F","Microsoft","2016","I’m proud of the progress we’ve made as a company this past year and excited about the opportunity for even more progress in the year ahead. We’ve advanced our mission to empower every person and every organization on the planet to achieve more. We’ve continued to cultivate a Microsoft culture in which people connect their individual energies and passions for technology to this mission. We’re leading profound digital transformation both for people and institutions. We’ve achieved strong financial results. And we’re building a sturdy foundation for an even brighter future.","ATHS9CW2FLYUY","No Social Responsibility","2018-02-03 22:39:13 UTC"
"3YD0MU1NC2ZJMAT70JGC1PAES467A5","Microsoft","2013","This past year we took the first big bold steps forward in our transformation and we did it while growing revenue to $77.8 billion (up 6 percent). In addition, we returned $12.3 billion (up 15 percent) to shareholders through dividends and stock repurchases. While we were able to grow revenue to a record level, our earnings results reflect investments as well as some of the challenges of undertaking a transformation of this magnitude.","A2FUMA4UR6S920","No Social Responsibility","2018-02-03 22:39:29 UTC"
"3VP28W7DUNIX2BGLUUUN6AE4ZDVZF1","McDonalds","2016","Stronger customer perceptions of McDonald’s helped drive stronger business results. 2016 was our strongest year of global comparable sales (+3.8%) since 2011. Globally, we grew comparable sales during all four quarters, marking six consecutive quarters of growth. Operating income increased 8% (11% in constant currencies), and diluted earnings per share 1 was up 13% (16% in constant currencies)1. Restaurant cash flows were at record highs in many markets around the world, including the U.S.","A3RYI5HXC2MJLN","No Social Responsibility","2018-02-03 22:39:37 UTC"
"3R0WOCG21M7JIS8FX10P1IW4LI0UDW","McDonalds","2015","Throughout 2015, we evaluated opportunities to further drive shareholder value. This includes a commitment to refranchise 4,000 restaurants between 2015 and 2018. Ownership is a powerful driver of growth, and putting more restaurants in the hands of local franchisees brings us closer to customers and the communities we serve. We also committed to reducing net annual G&A spend by $500 million, the vast majority of which will be realized by the end of 2017. On top of that, we increased our prior commitment, and expect to return $30 billion to shareholders for the three-year period ending in 2016, nearly double the cash returned to shareholders during the previous three-year period","ATHS9CW2FLYUY","No Social Responsibility","2018-02-03 22:39:50 UTC"
"3DTJ4WT8BDD5WXGPZJAHOST4NCGZEJ","Microsoft","2013","To increase innovation, capability, efficiency and speed we further sharpened our strategy, and in July 2013 we announced we are rallying behind a single strategy as One Microsoft. We declared that Microsoft’s focus going forward will be to create a family of devices and services for individuals and businesses that empower people around the globe at home, at work and on the go, for the activities they value most.","A3RYI5HXC2MJLN","No Social Responsibility","2018-02-03 22:39:53 UTC"
