HITID,Company,Year,Text,Worker1,Answer1,Worker2,Answer2,Agreement,Answer,Date
3KWGG5KP6J0Q0SXSO3ESQ2XSNWOMCZ,CocaCola,2015,"In emerging markets, we focused on volume and building a foundation for long‑term success. In developing markets, we used a balance of volume and pricing. In developed markets, we emphasized price/mix and smaller packages. And we added a revenue metric to our incentive pay plans.",A2LCFORIW0NF1S,no social responsibility,A3BL2ZEODD79AZ,social responsibility,No,no_agreement,2018-02-04 00:10:58 UTC
30ZKOOGW2W45BOE5B3Z30FJ1PI8A1D,CocaCola,2014,"While this transformation began early in 2014, we later accelerated the pace and broadened the scope of change. In October, we announced five strategic actions to put our business on the path to stronger growth.",A2QLSHXNCHBRN4,no social responsibility,A3BI0AX5T5GVO3,no social responsibility,Yes,no social responsibility,2018-02-04 00:11:36 UTC
32FESTC2NHO9D021X55EHCEM0IRCUH,CocaCola,2015,"Third, we became more efficient and productive, reducing costs and reinvesting the savings. We implemented “zero‑based work” to help our people look closely at every resource decision. We reduced non‑media marketing spending. And we realized new supply chain efficiencies.",A3F0NFNLOLFJT0,no social responsibility,A3BI0AX5T5GVO3,social responsibility,No,no_agreement,2018-02-04 00:10:28 UTC
3126F2F5F81BITEJCACFXURQDDCPER,McDonalds,2016,"Stronger customer perceptions of McDonald’s helped drive stronger business results. 2016 was our strongest year of global comparable sales (+3.8%) since 2011. Globally, we grew comparable sales during all four quarters, marking six consecutive quarters of growth. Operating income increased 8% (11% in constant currencies), and diluted earnings per share 1 was up 13% (16% in constant currencies)1. Restaurant cash flows were at record highs in many markets around the world, including the U.S.",A3BI0AX5T5GVO3,no social responsibility,AKSJ3C5O3V9RB,no social responsibility,Yes,no social responsibility,2018-02-04 00:12:49 UTC
3AJA9FLWSCWB7LRBUQ616FBE30WFIN,McDonalds,2015,"We recommitted to running great restaurants and delivering what customers want: hot, fresh food; fast, friendly service; and a contemporary restaurant experience – all at the value of McDonald’s. We re-emphasised quality, service and cleanliness in the restaurants as we streamlined operational procedures to improve order accuracy, removed items from the menu and simplified drive-thru menu boards.",A2CJFO19NY4T5R,no social responsibility,A3BI0AX5T5GVO3,social responsibility,No,no_agreement,2018-02-04 00:11:58 UTC
3LB1BGHFL2U7GQOHTSXT97K3KS2TYF,CocaCola,2015,We also announced that we expect to meet our goal of 100 percent water replenishment five years ahead of schedule. And we began to improve the way we build well‑being with a renewed commitment to being part of the solution to obesity.,A2CJFO19NY4T5R,social responsibility,A2QLSHXNCHBRN4,social responsibility,Yes,social responsibility,2018-02-04 00:11:00 UTC
3MJ9GGZYO34C09W1U7ZH5YT6HOMA2U,Microsoft,2013,"First, we are well underway in implementing the new organization structure announced in July. The teams are working together in new and exciting ways. The key change we made is deceptively simple but profoundly powerful: Instead of organizing our teams around individual products, we’ve organized by function, including, for example, engineering, sales, marketing and finance. It ensures we have one strategy and work as one team with one set of shared goals.",A1APYLD4DUK33J,no social responsibility,A2CJFO19NY4T5R,no social responsibility,Yes,no social responsibility,2018-02-04 00:12:52 UTC
3RWSQDNYL9KRXUPLTI0G3IYMN84FFW,CocaCola,2014,"Globally, families and individuals spent less on consumer goods in 2014, slowing growth in nonalcoholic beverages. And this had an impact on our performance.",A1APYLD4DUK33J,no social responsibility,A2QLSHXNCHBRN4,no social responsibility,Yes,no social responsibility,2018-02-04 00:10:54 UTC
3P520RYKCH4OEFTMIVI6368C815U5R,McDonalds,2015,"Throughout 2015, we evaluated opportunities to further drive shareholder value. This includes a commitment to refranchise 4,000 restaurants between 2015 and 2018. Ownership is a powerful driver of growth, and putting more restaurants in the hands of local franchisees brings us closer to customers and the communities we serve. We also committed to reducing net annual G&A spend by $500 million, the vast majority of which will be realized by the end of 2017. On top of that, we increased our prior commitment, and expect to return $30 billion to shareholders for the three-year period ending in 2016, nearly double the cash returned to shareholders during the previous three-year period",A2LCFORIW0NF1S,no social responsibility,A2QLSHXNCHBRN4,no social responsibility,Yes,no social responsibility,2018-02-04 01:11:57 UTC
391JB9X4ZY68JQ9GGGVQELA0S5XMKC,Microsoft,2013,We have seen incredible results in the past decade — delivering more than $200 billion in operating profit. I’m optimistic not only as the CEO but as an investor who treasures his Microsoft stock.,A1ZRK6K5JUPJAV,no social responsibility,A2N7I0331X72Z7,no social responsibility,Yes,no social responsibility,2018-02-04 00:11:51 UTC
