influence.1.1		influence.1.2		influence.1.3		influence.1.4		influence.1.5		influence.1.6		influence.1.7		influence.1.8		influence.1.9		influence.1.10		influence.2.1		influence.2.2		influence.2.3		influence.2.4		influence.2.5		influence.2.6		influence.2.7		influence.2.8		influence.2.9		influence.2.10		influence.3.1		influence.3.2		influence.3.3		influence.3.4		influence.3.5		influence.3.6		influence.3.7		influence.3.8		influence.3.9		influence.3.10		influence.4.1		influence.4.2		influence.4.3		influence.4.4		influence.4.5		influence.4.6		influence.4.7		influence.4.8		influence.4.9		influence.4.10		influence.5.1		influence.5.2		influence.5.3		influence.5.4		influence.5.5		influence.5.6		influence.5.7		influence.5.8		influence.5.9		influence.5.10		influence.6.1		influence.6.2		influence.6.3		influence.6.4		influence.6.5		influence.6.6		influence.6.7		influence.6.8		influence.6.9		influence.6.10		influence.7.1		influence.7.2		influence.7.3		influence.7.4		influence.7.5		influence.7.6		influence.7.7		influence.7.8		influence.7.9		influence.7.10		influence.8.1		influence.8.2		influence.8.3		influence.8.4		influence.8.5		influence.8.6		influence.8.7		influence.8.8		influence.8.9		influence.8.10		influence.9.1		influence.9.2		influence.9.3		influence.9.4		influence.9.5		influence.9.6		influence.9.7		influence.9.8		influence.9.9		influence.9.10		influence.10.1		influence.10.2		influence.10.3		influence.10.4		influence.10.5		influence.10.6		influence.10.7		influence.10.8		influence.10.9		influence.10.10		
0.000000000000000000e+00 3.059129129197231747e-03 3.499776147844269828e-03 7.122953934447854296e-01 1.702663299801979502e+00 1.078029126332150867e+00 6.274137587422056184e-01 6.268144542851879220e-02 1.269237191767834949e-01 6.619221728959891193e-02 5.262945833467447265e-01 0.000000000000000000e+00 9.474667489396162989e-02 3.553167145270382666e-12 6.753732564276502259e-01 5.936124350504672249e-03 1.377288749019702550e-07 5.298090476780542829e-08 2.966390116927431819e+00 1.192491354846499485e+00 2.845679175080855939e-07 1.202740406956042831e-07 0.000000000000000000e+00 5.811451827388719877e-05 9.874786719796969925e-02 2.193632937688203254e-15 1.235260744129898329e-02 4.781026225525837413e-06 8.799227507053360244e-10 2.596743416958137095e-07 1.292780952927654662e-10 4.533283265830284070e-01 3.148607354706671756e-12 0.000000000000000000e+00 1.937456926421119927e-02 3.126544977433610151e-01 8.829033491033916325e-01 4.684098703429553603e-05 6.933907949361167722e-01 3.211433379138106531e-08 1.201198057822767951e-01 1.380371266320505608e-03 5.132995015194266424e-03 8.143094651135888151e-01 0.000000000000000000e+00 4.027211982032710691e-01 1.974292975062391209e+00 8.527752392852134058e-03 1.225593190491769956e-13 1.314577935969256242e-03 2.656990682766057432e+00 8.923757128554509312e-04 5.560752206910057005e+00 1.218615817405001855e-01 6.264828961943397223e-02 0.000000000000000000e+00 1.069206364475102866e+00 8.628468852650754425e-13 2.791552159793249555e+00 5.307177535845266823e-08 1.735292551933871955e-02 7.054492440788896479e-01 1.344921477834407160e-09 5.965784050781496317e-01 5.503472993156837134e+00 4.185789108939451046e-16 0.000000000000000000e+00 1.821907928932307429e-04 3.318745972057914051e-02 2.607073433871639256e+00 1.012370240108127595e+00 1.116148776539956273e-04 4.192306767254109223e-01 3.332747624777281396e-04 1.731235847991787272e-03 1.045007606313674287e-01 1.143898615628991866e+00 0.000000000000000000e+00 4.744458704472047372e-02 1.605471763765987979e-03 3.146348485191245752e-05 1.253480542195394877e-02 5.715556579362901957e+00 4.282460890537835400e-03 4.261192343399758184e-07 1.813311646747801324e-03 6.300212658728416779e-03 3.915416033740441448e-01 0.000000000000000000e+00 3.475058956030241594e-14 9.982829789307006574e-07 2.013929685076934495e-04 2.134457736654047852e-03 7.805161435683362348e-04 7.989958847554970434e-02 5.192063779908980936e-07 2.981218375520093389e+00 3.790087049158063354e-02 1.172765458592681803e-02 0.000000000000000000e+00
0.000000000000000000e+00 2.436771948347275611e-03 1.346041039905605807e-02 1.118806409512322908e+00 3.418058619618907557e+00 1.216590307392286796e+00 5.334477762865418304e-01 5.515762443054327002e-02 1.889721148393840866e-01 3.676053070598593597e-02 2.196974987660763379e+00 0.000000000000000000e+00 3.655828502343255737e-01 3.205839023341564105e-12 1.152934651931629695e+00 8.495875590169945149e-05 4.692686496934553808e-07 7.335024379568822112e-07 5.584010057823444839e+00 1.361451793252623554e+00 2.586328233875895748e-07 5.245210936322545967e-08 0.000000000000000000e+00 5.677191118459292232e-05 6.042668531945480370e-02 1.027286148740791900e-15 2.162167071245435761e-03 1.216014340985795170e-06 1.236467450342913084e-08 1.971499931486879944e-07 1.125147194970913049e-10 4.122023254039472451e-01 2.084783315075342809e-11 0.000000000000000000e+00 3.728948923723099038e-03 8.543946141364268110e-01 3.285533397182047732e+00 1.301811302737412372e-06 1.487294530483483257e+00 1.325282093725959476e-07 9.451840096077980188e-03 6.559466342241616899e-03 2.064923576726722040e-02 4.576455985679990790e-01 0.000000000000000000e+00 1.849752974204755818e+00 1.722492400358945908e+00 4.170856847385915472e-03 3.192169781416384137e-14 2.777836558736832082e-03 8.106404379097273960e-01 3.927829765567281638e-04 5.305936279175469394e+00 8.358771220369816402e-02 8.885811099844855010e-03 0.000000000000000000e+00 9.902623246990467365e-01 1.690021668320427151e-12 1.116510500496344482e+00 1.405007770949225159e-07 3.172224670028458982e-02 8.176246645403836832e-02 1.211927028959175981e-09 1.424983889260580616e+00 4.134509483166010746e+00 2.568103411956609570e-16 0.000000000000000000e+00 1.421216992457713119e-03 5.036371231266405929e-02 1.637543943526665435e+00 2.247345256551372739e+00 4.211573230496657057e-05 1.257010322640786659e-01 2.652954216723084693e-03 2.405185150625512719e-03 1.848104268220289448e-02 8.456727556984779959e-01 0.000000000000000000e+00 2.697766804381018096e-02 3.117106682840526440e-03 1.654671622004886224e-05 6.252116985493175183e-03 9.232164959086669453e-02 4.069979240677894239e-02 3.913961305232899179e-06 8.094940664145606687e-03 4.945461941809933815e-03 3.758294183978863057e-01 0.000000000000000000e+00 5.421468225863093404e-13 4.170797718502427021e-08 1.794440013161497836e-04 7.114135274346313625e-03 3.756157001089352227e-04 7.688500946131081315e-02 1.954544982642925480e-07 2.266493485571319244e+00 2.197754885706028685e-02 1.148915273100716526e-02 0.000000000000000000e+00
0.000000000000000000e+00 2.532796876471379876e-04 1.475955708536137376e-02 3.686323749856526000e-01 4.112244202802444626e+00 3.171583970416022691e+00 6.138848796407684327e-01 9.960836237725696762e-02 2.022664773674273775e+00 1.136112423960473905e-02 9.423936765166157636e-01 0.000000000000000000e+00 3.312090715998134982e-01 1.000401882373555441e-11 2.767575584799242816e-01 7.720746319185531166e-06 2.924962501972290883e-07 1.018076249671997791e-06 1.437958075348102494e+00 9.724091753479891409e+00 2.958454340542660650e-07 3.013953118234043509e-08 0.000000000000000000e+00 2.868918596230231899e-05 4.582335669125774114e-02 3.289137310082784472e-16 2.121778648851868013e-03 1.202642861288282452e-06 1.375221203890181062e-08 5.857386873832810365e-07 8.454342704262392595e-11 5.421203283198686718e-01 4.035034674008724501e-11 0.000000000000000000e+00 2.436369623405583527e-03 1.244924305648592355e+00 1.745466554120753466e+00 1.619395467322354776e-06 3.107717823722009332e+00 7.469797547493553745e-07 9.622789672459868687e-03 1.281763929122002599e-02 7.778219044892498157e-02 2.011972475676552019e+00 0.000000000000000000e+00 7.505100992239666091e-01 1.013357773871933043e+00 7.331652218033200136e-03 1.415795492692164420e-14 2.881613245061960191e-03 3.537893106169985313e-01 3.698569624745654373e-04 4.439110173698485262e+00 9.691417443916968466e+00 5.094938784715506794e-04 0.000000000000000000e+00 1.602857649125845330e-01 1.174885673575060208e-12 4.401679591027656269e-01 3.838004472624894380e-07 1.255276086963038329e-01 3.372891851666550561e-02 4.052381708248152554e-11 1.238199134352988562e+00 7.487810201978445157e+00 1.111446033444377999e-15 0.000000000000000000e+00 1.240227935374077018e-03 1.294489778023412418e-01 2.128021408243448320e+00 8.275578897238755616e-01 1.192236336640226140e-04 5.104775864433907379e-02 2.072845973481351328e-03 1.303435188776427139e-02 1.246225551013191435e-02 7.702127281750781318e-01 0.000000000000000000e+00 3.283341581135687526e-02 1.127589223486204564e-02 1.190337430729807884e-05 1.686854143588305309e-03 8.356610235378855722e-02 1.134353718820998135e-02 4.519034941098423393e-06 1.042153843854326566e-03 9.487849744029832558e-04 2.126981965400075725e-01 0.000000000000000000e+00 2.445290215826486634e-13 1.149777117232771020e-07 7.103507232460468199e-04 1.220530285135007845e-02 1.491885784949749166e-03 9.601123135343966331e-01 2.471972145696762392e-07 3.071606151563587961e+00 1.888932594339935364e-02 2.665456377828655590e-03 0.000000000000000000e+00
0.000000000000000000e+00 2.126369521790418189e-04 1.888632236249427471e-02 1.051798979693458147e+00 4.089347711840142452e+00 8.554694909313555584e+00 2.943992331538224927e-01 8.574832046424804011e-01 1.840116655087890685e+00 1.044907852121982478e-02 5.660426147994193080e-01 0.000000000000000000e+00 4.811079597632691995e-01 8.105218510424584880e-12 1.990486192378811414e-01 1.144126991224960045e-05 6.910813289856810884e-07 7.167150088224201006e-08 8.553588829395992743e-01 8.901452993765037291e+00 3.089731054034615198e-07 4.091688001716104287e-08 0.000000000000000000e+00 2.206202412737971367e-05 6.148157826736101728e-02 1.210994410900938295e-15 2.488150059674556699e-02 5.247022155551229685e-07 7.214831235847466528e-08 8.836151713795523664e-07 2.568424551437103890e-11 3.924792140989332712e-01 1.835458958113937066e-11 0.000000000000000000e+00 3.501680759952303934e-02 9.633570424035542423e-01 1.128576221945489344e+00 1.995092767826540982e-06 1.239046294519653424e+00 9.249921751484623938e-06 1.956564241112100991e-02 1.242098886972373918e-05 2.653462620407446085e-02 1.582014637253372769e+00 0.000000000000000000e+00 5.907055733169189082e+00 3.690753898257847498e-01 9.441049055988959965e-03 2.108315389499340181e-13 1.306321115082255922e-02 1.331395715246453670e-01 1.208208488241155001e-04 3.395875698681605215e+00 6.380607022750207413e+00 3.927898468547859345e-03 0.000000000000000000e+00 4.461668644958308866e-02 4.733448956323176195e-13 2.822883895587922076e-01 3.087627945334734640e-06 1.085450892175203325e-01 3.445784577995474312e-03 4.391002424749996248e-11 1.069131274900851247e+00 3.161977477951215754e+00 8.257636649746936995e-16 0.000000000000000000e+00 1.988052474169778663e-03 4.672636040612357378e-01 3.188722952179536829e+00 2.683812262373510560e-01 4.996349323447636296e-05 7.560502209206716728e-02 3.898166946407659924e-03 2.007598413375805135e-01 1.438061126121126417e-02 3.955471269989260796e-01 0.000000000000000000e+00 1.829637704572700807e-02 4.290243083615317699e-01 2.826475043220283450e-05 1.204279502894391868e-03 2.345162113987234176e-01 6.705788773475472760e-03 4.134270013161549428e-06 3.667112156760747436e-04 9.841495619774764080e-04 2.633098589472395723e-01 0.000000000000000000e+00 2.570634573930398053e-13 5.581570808274058162e-08 4.357146510508724704e-04 6.368519313847164839e-03 4.457151480513618820e-03 1.281682094396374039e+00 2.383141988996568702e-08 9.937495788103133387e-01 1.943172412762508849e-02 9.619696859750887299e-03 0.000000000000000000e+00
0.000000000000000000e+00 4.483618472043066940e-04 8.565901531067734997e-02 2.410182186741905319e+00 7.370696060525813387e+00 2.291113331323322289e+00 3.106734648105745400e+00 8.477907936430698621e-01 9.084921928058246055e-01 1.412087952132602339e-02 2.859491509424058608e-01 0.000000000000000000e+00 3.895421891356465327e-01 7.469517215576748240e-12 8.515713709135906695e-02 1.048746121728225408e-07 6.781738839529869693e-07 5.259871057924921192e-07 7.013687782251585290e-01 4.102177708029009828e+00 1.160532390125951223e-07 7.832726385083861433e-07 0.000000000000000000e+00 5.161330092742468772e-06 1.710427087702864890e-02 6.419748161330083163e-15 3.228551497962114242e-02 1.257002335228274525e-07 5.709350725889823415e-08 1.220754697601467840e-06 2.289801999385367061e-11 3.931988055117582315e-01 2.868875606343118765e-11 0.000000000000000000e+00 2.377659065005185285e-02 9.004725272427106519e-01 1.191709255985582729e-02 4.627502771007703922e-06 5.553923663258936855e-02 2.899819488407175651e-06 7.046290108696671647e-03 1.793990562478605169e-05 2.628807495824260140e-02 2.354849240911036923e-01 0.000000000000000000e+00 6.446162224912473704e+00 3.231058563281958840e-01 3.397451280530052603e-02 4.511047002080397645e-13 6.182006466405423617e-02 5.012147288774324583e-01 2.055798885326948536e-04 2.479956000702381314e+00 4.607842214712681184e+00 9.042816059649345321e-04 0.000000000000000000e+00 3.823812064244373060e-02 1.588860263367562460e-14 2.147816719504780925e-01 4.330495832799739287e-07 3.686938576537333034e-01 3.270285053391166000e-03 3.434315964968814750e-11 2.924443966336997547e-01 2.075275526300768281e+00 6.597014158323528902e-15 0.000000000000000000e+00 3.027544835637659831e-04 4.549982419466930827e-01 7.302126787040700506e+00 1.907386776903306214e-01 1.452909982920687880e-04 1.748620173256853760e-01 1.409781956139027469e-03 1.419495929582237359e-01 1.754074861070613334e-02 3.455457291887089055e-01 0.000000000000000000e+00 8.463993961056701099e-02 3.745509736856684757e-01 1.096703124206919089e-04 1.588000435854060812e-05 2.037783001561512541e-01 2.225568513751978710e-03 1.423825203734107105e-08 3.128696793094437817e-04 1.363176902998645545e-04 1.122274098654265195e+00 0.000000000000000000e+00 1.115548744559020993e-13 1.780095474750753410e-09 3.056273008661838150e-03 4.669529736280765911e-03 4.143622500583624997e-05 4.343846812881118957e+00 4.383758693854537995e-08 1.455047105490336889e+00 3.242756245839409010e-03 1.594707925641738718e-03 0.000000000000000000e+00
0.000000000000000000e+00 8.195486036422296476e-04 7.911472176350062280e-02 3.636876780082332061e-01 8.816240678683303855e+00 7.713526390706366698e+00 2.736000106298154044e+00 3.380306595783477697e-01 3.725312733044031877e+00 1.216867410155278439e-02 1.574851180812019691e-01 0.000000000000000000e+00 6.135215490203124178e-01 2.733048046349636646e-12 6.573160130241700871e-02 2.035447613708691346e-07 7.858596012400325518e-06 2.666578895960081678e-07 2.289166501988109392e-01 1.471574187391655908e+00 3.732528656205709337e-08 3.833922135454231243e-07 0.000000000000000000e+00 1.570791174880089235e-05 1.387335271921835700e-03 1.214677435851787863e-15 5.203061227504037628e-02 1.414985904039564285e-07 2.058139114346130823e-08 3.474328895496395425e-06 2.104406416576997328e-11 1.772945581909549650e-01 5.963897347464615437e-13 0.000000000000000000e+00 4.038783023984554577e-02 3.335535431553965369e-01 1.968241786257890740e-03 2.579193031081388047e-06 3.346786928736353861e+00 2.226472985138228928e-06 6.105975929451110291e-03 1.317236803055823002e-05 4.399038390355036743e-02 3.875398814111782192e-02 0.000000000000000000e+00 4.319440336622225374e+00 1.235733102667870426e-01 5.842258606213270727e-02 1.117758466112016745e-13 1.440935898088812617e-01 1.676359183244908513e+00 1.143000191165773893e-01 4.040233976318662990e+00 2.880054940690920162e+00 1.364718968685952466e-02 0.000000000000000000e+00 1.563964691159626733e-02 1.051804172278331398e-14 5.172471461840381229e-02 1.131152740878636330e-06 3.915078562359037839e-01 3.022906538737403330e-03 2.913991677911757287e-11 1.731673906706271693e-01 1.596567895751647981e-01 3.986861212868614815e-13 0.000000000000000000e+00 2.919607638951609565e-04 2.817007639488854354e-01 2.542689490031804223e+00 2.156499044919291397e-01 2.692109366176421038e-03 1.527364549850083464e-01 1.672995230356725106e-04 2.574586319322292455e-02 1.180336042659648962e-02 3.366216944621866491e-01 0.000000000000000000e+00 1.613796726619931288e-01 6.172789687348588794e-01 1.113990274400317279e-04 7.123159380527312352e-05 1.517074432052394339e-01 4.509616948627077210e-02 1.952832877888393200e-08 1.133634240259969508e-04 6.611332016694403168e-05 5.684017460593330240e-01 0.000000000000000000e+00 1.445733176478457378e-14 2.093944640909824537e-09 1.051063730980584913e-02 1.534043804539904007e-03 3.014532616714724967e-05 7.750309089903257842e-01 1.122676728943080112e-07 1.456702593390294398e+00 1.769425318446211579e-02 3.521059296944688017e-03 0.000000000000000000e+00
0.000000000000000000e+00 1.282841089484592538e-03 1.091949901232149855e-01 1.975683999614776531e-01 7.103063300878718067e+00 3.394811627827906797e+00 1.460972314727303489e+00 4.458842227366064531e-02 1.627983023900361204e+00 1.053002376643946691e-02 7.726802682854914950e-02 0.000000000000000000e+00 2.649591342671772654e-01 1.155405185951799278e-12 6.009731422361869191e-02 5.416857274745000614e-06 1.954654440352678439e-05 6.220132286236072080e-07 5.674989569458645938e-02 1.540478307826780580e-01 2.059188230454092434e-08 5.981230741567122048e-07 0.000000000000000000e+00 1.421447357123583173e-05 4.433010043042400730e-04 4.152317034587716969e-15 9.995055385476724064e-02 1.435869107858941009e-07 1.396228892794088128e-08 5.167036606174057490e-06 1.087372431225199718e-10 1.006010799976883252e+00 5.962364341355568131e-13 0.000000000000000000e+00 6.746859421061789097e-02 3.202419951415099719e-01 1.757637616089486980e-03 6.097870205738258575e-07 3.140565626522580978e+00 3.717345248547106725e-07 1.671512653923303351e-02 4.580155992933151130e-07 1.019027366996150957e-02 9.218532657571695821e-02 0.000000000000000000e+00 2.621221044841405501e+00 2.917719368949192593e-02 9.033349762916478842e-02 1.108447885408161336e-13 2.222263142649549272e-01 5.390777013720711164e-01 8.611111163614795783e-02 2.356263242927660595e-01 3.877423534887678436e+00 1.317600794771928673e-02 0.000000000000000000e+00 1.005777735215925700e-02 1.042733128950194511e-14 4.947692679988879849e-01 1.100480204209686676e-06 3.432537501964076920e+00 2.501334205318932451e-03 1.264555797266991636e-11 3.078615931750827706e-01 3.208461498220288366e+00 5.240239805553577320e-12 0.000000000000000000e+00 1.305293925309589258e-05 4.201678384059540639e-01 2.306334583637013491e+00 4.141952704731688417e-01 2.903986787749652295e-03 1.519590452980756679e+00 3.642723148389691973e-05 3.433051688884919059e-03 4.472295008485836320e-04 3.027831942913148389e-01 0.000000000000000000e+00 4.843184796715204743e-01 4.382693804798658277e-02 1.433521240889974518e-04 2.152264405197060765e-05 1.556742882975056808e-01 6.116284550249777296e-02 1.315948175556026287e-08 5.904972259122053327e-04 4.541317673276440306e-05 8.532571570719460041e+00 0.000000000000000000e+00 3.342232950893376593e-14 1.909233054714639744e-09 1.028214997985912177e-02 7.013375679622620845e-04 1.842436549761656273e-05 7.254739297102708040e-01 1.166462668485478754e-07 3.494350697197152744e-01 1.856833905057971856e-01 5.484045197668352932e-03 0.000000000000000000e+00
0.000000000000000000e+00 3.573072433885998711e-02 1.830228606133800907e-04 4.749315305412740162e-01 1.078836868522852210e+00 1.809956406172461119e+00 2.383021929301041286e+00 6.544020366311119330e-02 2.226505965673246656e+00 4.721499658694247245e-03 7.882210328485175777e-02 0.000000000000000000e+00 2.832197729093014482e-01 8.136187072940673095e-13 5.332606432471174909e-04 3.630996433236222692e-07 7.901675123888562711e-06 1.955652171417062935e-07 1.736875285265965935e-02 9.420595629494115178e-03 9.222467971185656448e-09 2.729989505911794910e-08 0.000000000000000000e+00 1.150054770972595679e-05 9.517003426294741485e-04 4.061018631665971945e-17 7.722349549044084382e-02 2.358133067344388629e-07 2.432822413423110842e-09 3.761587687022345690e-05 2.213603868633949693e-10 3.113804188185450350e+00 3.451074647282125042e-13 0.000000000000000000e+00 8.164115338253805088e-02 5.207940328249150985e-01 1.612683500944197103e-03 6.190187050380701152e-07 1.672470806160273549e+00 2.032759816585252194e-07 1.693507558059752401e-03 6.476169349154098609e-07 2.652633760900657833e-02 1.763512032382512917e-01 0.000000000000000000e+00 3.161567385810441166e+00 2.607410904841805932e-02 1.144177376009058583e-01 5.764697449158856984e-14 9.648672154404954737e-01 3.618591867899558778e-01 9.394166785845275980e-02 2.147887898479626870e-02 6.623336420113079548e+00 1.556404012644290076e-02 0.000000000000000000e+00 6.460449356481587357e-03 6.954357379283281945e-16 3.451928311333664623e-01 2.994375653626275578e-06 1.775485601650621525e+00 3.257095641734139568e-03 1.526838878424832256e-11 1.784954324232463502e-02 4.031808021973191991e+00 1.400889767137980334e-11 0.000000000000000000e+00 4.076188544838638837e-06 7.136599114488682621e-04 1.521181348768218644e+00 2.054863967599203367e-01 1.684629824884003452e-02 1.965565705849124711e+00 6.803554397495489737e-06 3.738169897618627818e-03 3.870758886597082393e-03 5.331378731200413501e-01 0.000000000000000000e+00 8.463946291548404277e-01 6.800811116386334954e-02 1.790459904461398351e-04 3.448442757401760472e-05 2.637946227348026557e-02 5.241961781576826712e-02 1.822153490427555923e-08 1.103883641706979656e-04 4.151210462780821950e-05 6.213661886924325195e+00 0.000000000000000000e+00 1.523725511395273933e-14 8.826847873489645460e-10 2.430410718560895283e-03 4.857397201193560353e-03 3.311992788023030722e-06 3.539122295411508690e-01 1.848054474161812408e-08 1.919236811370264306e-01 1.918826290652239086e-01 1.273747610752098622e-03 0.000000000000000000e+00
0.000000000000000000e+00 8.310635252756509717e-02 5.291547447245366733e-05 4.858785189551216299e-01 8.041490717269638155e-01 6.248422641365621644e+00 2.945414295956856332e+00 1.854941104463398438e-01 9.668762783671793315e+00 6.271242762087238156e-04 4.304962948502270154e-02 0.000000000000000000e+00 4.268295562353910944e-01 3.665346108930806337e-13 4.575633828940958475e-04 4.018452028001342030e-08 9.666842996655290138e-06 6.501509796128943921e-07 5.890529052945873284e-02 5.524774239805258641e-03 5.295895798362953100e-08 3.022024243292037866e-08 0.000000000000000000e+00 1.091051330654808004e-04 7.237062196193239773e-06 3.418437946169208059e-17 7.089846428762854036e-02 1.099676584342622108e-07 3.886954517223819636e-11 4.868401226199674643e-05 6.486786067571196159e-11 3.336505148078991123e+00 2.276174658735495427e-13 0.000000000000000000e+00 1.938462237589854420e-01 7.367140578736183221e-01 1.431967059652301246e-03 2.760907496224565574e-07 3.908578921987453381e-01 2.169869830309109063e-07 1.707471692925800625e-03 2.946080207435959319e-06 2.206312133317264723e-02 8.359706481726539296e-02 0.000000000000000000e+00 3.639547880468376739e+00 4.098435880225149291e-02 1.961916808915220023e-01 8.440559431271819043e-15 2.017258270529387332e-01 3.126004788471176687e-01 1.422872750157376243e-01 3.530564130572352161e-02 1.136807264737492718e+00 4.056797198982858149e-02 0.000000000000000000e+00 1.159850563075664164e-02 1.973972635648376192e-16 4.153561222591041768e-01 1.749766521396924043e-06 1.184215418588927538e+00 4.677392740341971590e-03 1.338881325105411409e-11 1.093618380498387506e-02 2.410719154636915551e+00 4.626698805992419333e-11 0.000000000000000000e+00 8.762285184120748515e-05 2.856984262283116254e-04 2.544896269187413296e+00 1.006619596987196885e-01 4.458053764244629402e-02 1.629531892898948564e-01 4.430639433776822051e-07 1.945910867893403109e-03 3.515459555149726828e-03 1.688846512301811764e-01 0.000000000000000000e+00 4.373059870537212568e+00 3.282500292077636644e-03 3.424558326550650525e-03 5.234098238839451325e-05 3.033146926844138350e-02 5.206557391362689330e-02 4.406245579199117854e-09 1.749967524236140180e-04 1.551328697856360574e-04 5.968146421129511658e+00 0.000000000000000000e+00 1.087516838933086611e-13 5.010590153799755276e-10 8.943967613147155160e-03 1.543086265262435808e-01 1.026524492281204508e-06 1.465383490136179349e-02 1.915127726372866615e-05 7.475916884907004567e-01 7.022998750641935850e-02 3.801134458519038993e-03 0.000000000000000000e+00
0.000000000000000000e+00 2.302223092656699791e-02 2.774051302117655756e-05 4.495737701611155490e-01 3.195309879705463096e+00 4.361062271373770116e+00 3.908159439346203801e-02 1.581531624703558236e-01 8.939926646327156945e+00 1.038061121095452087e-03 1.710278463553584483e-01 0.000000000000000000e+00 4.747452704989892358e-01 2.711858984784434044e-13 1.863228548401708136e-04 1.383098210572941604e-08 1.042953442926224507e-04 4.177696400808583797e-07 6.250026901371069643e-02 3.368324687609458752e-03 1.014818681234479244e-07 1.733807278975228250e-05 0.000000000000000000e+00 6.117260360050534216e-05 6.541331011046334712e-06 6.557133830664310385e-17 5.103147726793760830e-02 3.131910633975033030e-07 4.660117178053504931e-10 5.073640709173876879e-04 1.898070025754058234e-11 6.603695951792451169e+00 2.602924532256704120e-13 0.000000000000000000e+00 2.305423807763971322e-01 3.063100597544554216e+00 1.293177382245910443e-03 2.167658961408069093e-07 4.344539770334230472e-02 7.330264411203996988e-07 1.760535950073334162e-03 1.344553785197831081e-06 1.779638652064411186e+00 9.088237683720171711e-01 0.000000000000000000e+00 9.081064643222450883e+00 5.535221400558511945e-02 1.556684627243723196e-01 8.699686065913894456e-15 2.147907610519352029e-01 2.738469016925167976e-01 1.824788781811407246e-01 1.140944112890942413e-01 9.117543422173342016e-01 1.899016961972518069e-01 0.000000000000000000e+00 2.110495720802809880e-02 4.637751025230288306e-16 7.072708376887649750e-01 3.305794784067362730e-06 5.906300212777177983e+00 2.243991334126021423e-03 2.652320158332953430e-11 1.344695512126140718e-02 5.662098218378542214e+00 3.318634340967156342e-11 0.000000000000000000e+00 5.225917618556128011e-05 5.438954950571711020e-05 2.505501775116098173e+00 9.355868561950404783e-02 1.290189999090115835e-01 2.025735951389553632e-02 5.123500871689035080e-07 7.231286130125746947e-03 1.181653846359609870e-02 1.020134328430904180e-01 0.000000000000000000e+00 3.582672516814947805e+00 2.034556871738834628e-03 1.028534364831389927e-03 5.967380854847208320e-06 8.138754728982977582e-02 3.123904479471352816e-02 1.544905445383862540e-09 8.306516509200604324e-04 1.900715787776213056e-04 3.357314263452869874e+00 0.000000000000000000e+00 2.260753940151343161e-12 1.632286561856735444e-09 7.917318199753897029e-03 1.355388730622604010e+00 2.684255664411682208e-05 6.330522448520816726e-03 1.448452530687826271e-06 6.055598891734362832e-01 5.759852119755799055e-02 1.332196620174105331e-03 0.000000000000000000e+00
