log.prior	log.likelihood	log.likelihood.test.set
-2.029068110533738718e+03 -1.166517075653935535e+03 -1.144197516472341647e+02
-2.038021619489031764e+03 -1.162880227936211668e+03 -1.160394815522045064e+02
-2.038448835933688770e+03 -1.166297510040657926e+03 -1.157847762100777516e+02
-2.013466842382344794e+03 -1.164420892027807213e+03 -1.150925348053332300e+02
-1.973955438014883839e+03 -1.165666737870729776e+03 -1.149076593098532726e+02
-1.967426143736665153e+03 -1.166766341068629572e+03 -1.168975225936059132e+02
-1.968267313325718305e+03 -1.164407545750112604e+03 -1.173347355342864944e+02
-1.917570638049135823e+03 -1.159456450972308630e+03 -1.189603317234927147e+02
-1.908191275996236300e+03 -1.166171316276800781e+03 -1.167826526981311588e+02
-1.918538666476077196e+03 -1.167447778784765660e+03 -1.169416163716273616e+02
-1.897279680693931823e+03 -1.162212079813564969e+03 -1.165858768426528513e+02
-1.907996503874035398e+03 -1.161915447527949482e+03 -1.163588084528230979e+02
-1.944910086026866111e+03 -1.167461882441832586e+03 -1.172882872428163807e+02
-1.954185416228674057e+03 -1.167566301970257882e+03 -1.171974074737131559e+02
-1.926803513087902957e+03 -1.167809363416508859e+03 -1.164361614497939570e+02
-1.916738722441759592e+03 -1.163985431717335814e+03 -1.158612762478315972e+02
-1.931236170559111315e+03 -1.164326312876207567e+03 -1.164007153762096323e+02
-1.948095051939034420e+03 -1.162230904280325376e+03 -1.155430988486096169e+02
-1.940607699708151586e+03 -1.166483868363217880e+03 -1.166149109778660886e+02
-1.924124784980500635e+03 -1.165396411608577182e+03 -1.156339596865396686e+02
-1.893630573247664870e+03 -1.156261593185578704e+03 -1.155576892493521939e+02
-1.893087883154915744e+03 -1.156260521985745299e+03 -1.155685099703083552e+02
-1.889817057922008189e+03 -1.152612621141747240e+03 -1.162771392473944729e+02
-1.892761108125931969e+03 -1.153702469873615655e+03 -1.160656974961942751e+02
-1.886937735752586377e+03 -1.154086664462829958e+03 -1.165659419901065519e+02
-1.884304434554990394e+03 -1.150752337057991554e+03 -1.162692486304860893e+02
-1.880427995909325091e+03 -1.152468695881533449e+03 -1.164139472355715270e+02
-1.868106140255641321e+03 -1.154378180031974807e+03 -1.156873622889582975e+02
-1.859671485300118093e+03 -1.158720094985441165e+03 -1.165605433773737332e+02
-1.846513804769514991e+03 -1.159287241328743676e+03 -1.161249276545441376e+02
-1.833206505122654789e+03 -1.159757340124628854e+03 -1.175364932010496375e+02
-1.819866590047724003e+03 -1.158879955162714623e+03 -1.172570540950566738e+02
-1.821275093715713410e+03 -1.154587755407496388e+03 -1.182946719682952903e+02
-1.821809625727377806e+03 -1.160619384543695105e+03 -1.172855319941574521e+02
-1.846757950219764098e+03 -1.165306937222291253e+03 -1.163244513885168203e+02
-1.851124776466607955e+03 -1.166830091286299421e+03 -1.148931422730299516e+02
-1.843044584844235260e+03 -1.167247433324548410e+03 -1.158147414941162765e+02
-1.853765627635858209e+03 -1.165769365733978248e+03 -1.164058567401732489e+02
-1.820989565678062263e+03 -1.162478280022330637e+03 -1.151246649754848761e+02
-1.830209426474535576e+03 -1.164705152951137734e+03 -1.146386544406169321e+02
-1.823279793595048432e+03 -1.168790730838726859e+03 -1.149065384255718811e+02
-1.832151521861399033e+03 -1.168433732789076430e+03 -1.160031061901462408e+02
-1.828999456010460108e+03 -1.169039856705643615e+03 -1.147299324029857530e+02
-1.844601187058650794e+03 -1.169477518773988322e+03 -1.145453395054806549e+02
-1.865032606270249289e+03 -1.174981179156953203e+03 -1.151379868802761450e+02
-1.877503071057549960e+03 -1.170244785091661242e+03 -1.171452968958974168e+02
-1.886732352812357931e+03 -1.168773782483746345e+03 -1.160225557989453762e+02
-1.904640918428113764e+03 -1.167113258730914367e+03 -1.157113843938388982e+02
-1.894251260574995740e+03 -1.169501526071846683e+03 -1.156422459685944659e+02
-1.890596214138310188e+03 -1.171686707403145647e+03 -1.146225732923724081e+02
-1.852896120138605738e+03 -1.176251385135398095e+03 -1.142042672849453595e+02
-1.840889026057492629e+03 -1.170627627065570778e+03 -1.144118401639902629e+02
-1.854172590914681223e+03 -1.168627809698645251e+03 -1.155032475980674178e+02
-1.860222722931679300e+03 -1.170177958893490313e+03 -1.161754259674101775e+02
-1.841384351672523280e+03 -1.171094805991129078e+03 -1.165780619213876719e+02
-1.847332899717511737e+03 -1.173723932666078554e+03 -1.167589358397367221e+02
-1.828275707578694437e+03 -1.173179661277212517e+03 -1.166925220280330109e+02
-1.828423921432283350e+03 -1.171785426631348400e+03 -1.171121842111587057e+02
-1.802190968736067134e+03 -1.173577065619717359e+03 -1.156876940726343435e+02
-1.801571924318620404e+03 -1.173978619934863218e+03 -1.134945433457389186e+02
-1.807573174511432399e+03 -1.171072416872323856e+03 -1.150606260677368198e+02
-1.813100885398410128e+03 -1.170582086306278597e+03 -1.153647581378906750e+02
-1.824243983124854594e+03 -1.167375052051510920e+03 -1.161636513841309579e+02
-1.843116650927255250e+03 -1.160851685476804505e+03 -1.165395226518516267e+02
-1.845124860087237266e+03 -1.159204044727379369e+03 -1.168033900111611274e+02
-1.828536100537373386e+03 -1.153748207961452863e+03 -1.158138859675189565e+02
-1.824874413436094983e+03 -1.159561530485313824e+03 -1.166189187239685623e+02
-1.810323257722582866e+03 -1.160249287220923861e+03 -1.168379790671818057e+02
-1.826881085305279612e+03 -1.158549715710228156e+03 -1.165588000848138108e+02
-1.835495524727051816e+03 -1.161819943557779652e+03 -1.167598894874061841e+02
-1.834080932211287745e+03 -1.158233582674409490e+03 -1.155608700288821353e+02
-1.861890587148131544e+03 -1.158879449544209365e+03 -1.148602134577900244e+02
-1.871162933727048085e+03 -1.160002431561682897e+03 -1.157307511514666487e+02
-1.867768561430985301e+03 -1.165904987829243055e+03 -1.155639435063153257e+02
-1.867964094713713166e+03 -1.163951305104572157e+03 -1.152246329813738441e+02
-1.860811074623825789e+03 -1.166745842939676777e+03 -1.166805689935239627e+02
-1.849813364408273401e+03 -1.165566372242342368e+03 -1.164834429700855196e+02
-1.841092037922977397e+03 -1.168663759609812359e+03 -1.163190247943388442e+02
-1.865476449446682182e+03 -1.167115551443540198e+03 -1.170082974840869099e+02
-1.879793815927332162e+03 -1.162790960402496012e+03 -1.176746367905347483e+02
-1.890559381496560263e+03 -1.162024624852924489e+03 -1.181366404857132011e+02
-1.890830488365549172e+03 -1.163609401530539799e+03 -1.158984286286536189e+02
-1.899713083967240891e+03 -1.166157596216303318e+03 -1.155219962780743970e+02
-1.892412312675238809e+03 -1.162214817345478423e+03 -1.159182921452344033e+02
-1.887607445432220629e+03 -1.161485505141972908e+03 -1.169001730737302012e+02
-1.893232711416136908e+03 -1.161092284999360118e+03 -1.162221207252449631e+02
-1.916252434926662090e+03 -1.158541158556559594e+03 -1.167444761653049738e+02
-1.924695890362085038e+03 -1.166664353047850000e+03 -1.163790549941820416e+02
-1.935430699111043850e+03 -1.163210531410762769e+03 -1.156009244657840611e+02
-1.953439759578661551e+03 -1.166952729649175581e+03 -1.163073216950603808e+02
-1.946574177251010042e+03 -1.167790922838841880e+03 -1.156094383257760683e+02
-1.933828406837618559e+03 -1.158361935565030763e+03 -1.154565651144774279e+02
-1.932486895420751353e+03 -1.157763138637853217e+03 -1.166061706506798146e+02
-1.935452092857975913e+03 -1.155835855702969184e+03 -1.157762548303562653e+02
-1.939758557008921571e+03 -1.157120068815115474e+03 -1.175757251363967271e+02
-1.931343949822120067e+03 -1.154691099271626626e+03 -1.168491491665277806e+02
-1.909161078796141283e+03 -1.159690214317231721e+03 -1.172868478773180811e+02
-1.913451749991099632e+03 -1.159680241462031290e+03 -1.161846075611790070e+02
-1.915007126771651883e+03 -1.162831075928907012e+03 -1.176594336143277530e+02
-1.932130997427818329e+03 -1.168113015242606934e+03 -1.187802266368103119e+02
-1.930923084372206858e+03 -1.169813919832646661e+03 -1.188801680386344799e+02
-1.922360255564174395e+03 -1.168832099960233336e+03 -1.173699648189947027e+02
-1.926977448438683950e+03 -1.167273751823008524e+03 -1.172309273151524280e+02
-1.932996061253472135e+03 -1.170341863507683684e+03 -1.168067977686831966e+02
-1.924031594521973602e+03 -1.170098188919421773e+03 -1.160899796270162199e+02
-1.950726185133680474e+03 -1.166916738935881312e+03 -1.166489046976469695e+02
-1.968720231314405737e+03 -1.166386326508895536e+03 -1.161076936643119950e+02
-1.988168106138468374e+03 -1.165594656712646611e+03 -1.187707187831725264e+02
-1.997419489589380646e+03 -1.167417270735463262e+03 -1.173626764153375746e+02
-1.977404305986554846e+03 -1.165956660965188803e+03 -1.169072700481035838e+02
-1.989280711549319903e+03 -1.166130890609057133e+03 -1.157175941508378116e+02
-1.990644440853539436e+03 -1.167130954573715371e+03 -1.171214838471307473e+02
-2.020858274680098930e+03 -1.171356037965386577e+03 -1.158461876639154013e+02
-2.037706644370438880e+03 -1.170923274952540396e+03 -1.164183215768424020e+02
-2.024875082675562908e+03 -1.169006431995586354e+03 -1.165944013589708845e+02
-2.044879021460867534e+03 -1.167460703704937714e+03 -1.165086168247492253e+02
-2.027739396772589771e+03 -1.168656967561985539e+03 -1.182583623463055744e+02
-2.035335184244260290e+03 -1.171340650203860605e+03 -1.186527665917981267e+02
-2.019513924991191516e+03 -1.169177303494379430e+03 -1.190960317306806928e+02
-2.003662769840080728e+03 -1.166866383198014319e+03 -1.181094723929809334e+02
-2.004276051094109789e+03 -1.170495368709016248e+03 -1.159475318908934582e+02
-1.986712139025985834e+03 -1.169626947225953472e+03 -1.162813641665621560e+02
-1.954529905954959986e+03 -1.167424014124376527e+03 -1.154364914762270189e+02
-1.964195171356959690e+03 -1.167963673605437634e+03 -1.160195993359445197e+02
-1.951753701578935761e+03 -1.170227034255673743e+03 -1.164583287298984260e+02
-1.972265765036015637e+03 -1.163759324703580432e+03 -1.155391556803208459e+02
-1.980911977702406148e+03 -1.160573062168398337e+03 -1.149334213691562354e+02
-1.986019074963828643e+03 -1.157084322963703926e+03 -1.147322132993963351e+02
-1.947275472738825783e+03 -1.164641660462312984e+03 -1.140456705905864965e+02
-1.957588286954511204e+03 -1.166706433299855917e+03 -1.156169801763699638e+02
