time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	time.decay.7	time.decay.8	time.decay.9	time.decay.10	
9.122507445665875991e+01 1.047668847607895657e+02 1.015783314201325993e+02 1.065525570522561907e+02 1.066211904079132751e+02 8.510722775867164103e+01 9.922760288078910662e+01 1.207195139940563138e+02 9.898690340548986910e+01 8.974305972598659764e+01
9.728397649218894117e+01 9.086664781019953807e+01 9.389377069169424317e+01 8.447256315546749761e+01 9.727344307698785997e+01 8.995195053621173997e+01 1.018592171228753784e+02 1.214029823121570217e+02 8.675553406373813914e+01 9.361487245271844415e+01
9.598790181477735928e+01 1.002308867865305047e+02 9.075637092266413219e+01 9.403177872086085642e+01 1.108703941602881002e+02 1.091735471450943180e+02 1.018535507186473694e+02 1.067280452344021739e+02 8.613175757945676025e+01 9.421815377443702744e+01
9.991247830524901019e+01 1.034176483651800567e+02 1.028674518820380257e+02 1.114192224190263119e+02 9.139787052321717908e+01 1.188194912364746472e+02 9.915147582702245188e+01 1.035341698156018992e+02 8.814711681684686084e+01 9.654072553308762394e+01
9.417657053054439587e+01 9.256126224697561611e+01 1.132067400663162431e+02 9.450646007672607141e+01 9.278651043524057229e+01 1.160538373544278414e+02 9.827580789680477835e+01 9.503139382056056661e+01 9.121545805423387776e+01 1.002314958175139168e+02
9.734136881905850203e+01 8.594413767503667145e+01 1.219076842979711301e+02 8.915372949178906481e+01 9.880923647517114716e+01 1.152036895301115038e+02 1.020712793396029667e+02 8.558430852345270523e+01 9.893651375913074730e+01 1.011963187042826888e+02
9.827642454180784171e+01 1.008744040578725247e+02 1.196557180476933979e+02 9.067257444901946428e+01 6.899032699236821031e+01 9.988965224046053493e+01 9.327627797222324091e+01 1.065667062229257454e+02 1.098376640024216329e+02 9.354024906086567626e+01
9.966329833985189168e+01 9.648859233753071862e+01 1.209881235227108220e+02 8.695314469197889196e+01 8.155175353246012548e+01 9.237648708453286872e+01 1.102308469906081285e+02 9.973484734529316142e+01 1.090753388589033079e+02 1.094465247728555255e+02
1.069786702628231154e+02 9.794708112873881589e+01 1.186216364680208954e+02 9.460985242589555355e+01 9.710290643133032518e+01 8.816944633033197931e+01 9.264963577942718587e+01 9.406810806199875685e+01 1.242983393493523607e+02 1.291095102747513010e+02
1.010067433548200313e+02 1.061034721377654364e+02 1.058055002317978790e+02 1.122470767905938800e+02 9.717753642746383491e+01 9.178140408920285154e+01 1.054576953804351120e+02 1.080865866833392204e+02 1.262203134956326807e+02 1.175072199956253058e+02
9.187037548279113253e+01 9.002325727363680130e+01 9.627268840587072418e+01 1.089794479684846209e+02 1.005970337006894511e+02 8.858163534167870523e+01 1.028055268751913616e+02 9.397090664877028132e+01 1.013957896824096139e+02 1.018686032009904068e+02
1.076487458114005591e+02 1.077277194402259397e+02 1.003270030138386915e+02 9.814899213684188339e+01 1.016228647082193817e+02 8.709261507006010561e+01 8.902524319300121647e+01 8.562286306657568957e+01 1.019587901953855607e+02 9.267647646307649723e+01
9.614028801109475353e+01 1.132508043953830850e+02 1.022678867139027261e+02 1.135139480348464929e+02 9.709512818241393006e+01 1.090677882632694065e+02 1.142215692831076979e+02 9.304040951308584795e+01 1.019987765495257008e+02 1.044823493414186970e+02
1.087039864992782157e+02 8.492621980746284294e+01 1.113268266448936004e+02 1.109938549507302525e+02 1.142078894234912525e+02 1.090362251514990533e+02 9.359549043928232948e+01 9.568765157838831215e+01 1.133500977827145704e+02 1.071851923472871846e+02
1.030560792618580592e+02 8.855958541108262239e+01 1.113973524782352058e+02 9.722102053006256028e+01 9.605908895904332212e+01 1.047755032376976487e+02 1.116551562634951580e+02 9.523721175295351316e+01 1.064453706631196752e+02 1.016156019446215737e+02
9.643090007508992301e+01 1.058318762968388853e+02 9.357374144580290931e+01 8.974611638682654302e+01 1.015521073181800062e+02 1.059718575260799298e+02 1.050199192941884405e+02 9.461221174157344649e+01 1.110060304389367616e+02 9.420489721131292526e+01
9.652417218145423305e+01 9.877707000012283345e+01 1.038660386001083964e+02 1.115940104145963687e+02 9.805719267037888187e+01 1.009065827839593368e+02 9.333683255438850779e+01 1.030804230325493194e+02 1.011733085195354533e+02 9.656338347325836935e+01
1.124245080869927449e+02 1.039906134056230940e+02 1.046981435452680387e+02 8.753329160243347928e+01 8.930785704131903913e+01 9.586977788856339089e+01 9.399157573728551540e+01 9.213116481851206174e+01 9.129647684568340082e+01 8.915301536932366844e+01
9.302513552592408530e+01 1.052462905733896008e+02 8.166646473188674804e+01 8.298549530823686382e+01 8.954524698250170900e+01 8.514171058441593232e+01 1.120989504116658537e+02 9.602773194565639869e+01 1.028811667492001760e+02 1.046028976031355455e+02
9.245456384614925582e+01 9.739147304296133711e+01 1.132905378700214101e+02 9.193230755652362518e+01 9.038121154256521095e+01 1.104235450940111605e+02 9.762054171015667237e+01 8.011976825119211298e+01 1.062929685249444987e+02 9.646494056512550230e+01
9.232507201222388460e+01 1.088840574665588576e+02 1.124073827223705422e+02 9.778958067982671309e+01 9.561064249965227191e+01 1.068016701386014944e+02 1.017943377972861185e+02 1.028050506639513060e+02 1.052869377461352371e+02 9.882676518591765102e+01
1.103965674163156621e+02 9.702127601147530811e+01 1.102925677863209160e+02 8.314054688534372417e+01 8.943041223388428307e+01 1.132074790409569545e+02 1.104327193971588486e+02 8.879774899739825855e+01 9.212132237944227597e+01 7.051698664982978926e+01
8.733488621211928660e+01 9.393151222759824748e+01 1.033077548668285743e+02 8.394083422556607843e+01 9.490545093041168911e+01 9.367725133380506009e+01 1.171769960626663476e+02 8.712003406911266268e+01 9.287066496821600481e+01 7.872765000180928041e+01
1.129359977513793183e+02 8.469933427663524128e+01 9.774947569849555862e+01 9.162103425702154880e+01 1.016009396884885803e+02 1.146779250577577045e+02 1.098658221890649003e+02 9.665861648636870029e+01 9.574262307729871679e+01 8.128133924475027072e+01
