word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	word.concentration.7	word.concentration.8	word.concentration.9	word.concentration.10	
6.580565827209799323e+00 7.793886484106349322e+00 4.736037711561669639e+00 9.220992182895736633e+00 9.104787124738670911e+00 7.204812976577291472e+00 7.715369298592781533e+00 8.507032906518849913e+00 9.720856611006091441e+00 8.220328082431949568e+00
8.181682861863480483e+00 9.244562604839464015e+00 4.018215319410775699e+00 8.867734938415116730e+00 8.780455793534276410e+00 8.029299842897243522e+00 8.155645454361886593e+00 9.974447641283513022e+00 9.327982257401156829e+00 9.805139759432611513e+00
7.545703461111997967e+00 6.867735489510239155e+00 7.013121455973587715e+00 3.922971477650850414e+00 9.340474224955205074e+00 6.095142860794259931e+00 7.881905659663017261e+00 9.401874347558113243e+00 7.693286263558611004e+00 9.698255877474993625e+00
8.584383626951010982e+00 6.514403795892485860e+00 5.417258291677002013e+00 8.226482700717218322e+00 8.965464353185799595e+00 7.955703231945338239e+00 9.382631902769407617e+00 6.377630230415783252e+00 9.188826848594889185e+00 6.411639265476912541e+00
7.677707589762444051e+00 9.996908765382029216e+00 4.790578998906841690e+00 8.671026367987998640e+00 7.453093089317405884e+00 7.003780022625818447e+00 9.514225569573570240e+00 6.592345617158514415e+00 8.357897063687708794e+00 7.609532793536176953e+00
9.343840223129646461e+00 9.006374104278268788e+00 6.760598983654039884e+00 9.058099695435128496e+00 6.125172178509843413e+00 8.274923206257337682e+00 8.787597322342859840e+00 7.261641444061996076e+00 9.419494392859894205e+00 7.610256313960995556e+00
9.166888933876741419e+00 5.147921689436260273e+00 9.627088482186168861e+00 9.844764145323853910e+00 7.284674204372327821e+00 9.883242981370788272e+00 8.811788897193014947e+00 8.827057770012300963e+00 9.440017867265362739e+00 9.516464436292775275e+00
8.012692149907946870e+00 7.294450747994918771e+00 9.805248652036231860e+00 6.197192062042747196e+00 8.229040819176269395e+00 9.850157104023725907e+00 9.211714639670272931e+00 7.807834489536427114e+00 8.665420527038257603e+00 9.355411364267222751e+00
7.506714288258024226e+00 7.996948523959576782e+00 8.141743003160716086e+00 5.572091401163050683e+00 8.191759665743534313e+00 9.498811464008626970e+00 9.685686230600614621e+00 7.248568406404161557e+00 7.035132247627202240e+00 8.058417129491852293e+00
6.804127192729307438e+00 8.251326910556798566e+00 9.346421898939334838e+00 4.128289422418940369e+00 7.633825114226444164e+00 5.456241410476111220e+00 9.870869594289274573e+00 8.943066053714909813e+00 6.840935878010408366e+00 7.148686177438948519e+00
8.167014034965763614e+00 8.293407029307005018e+00 9.932563418035666558e+00 5.335053413240802733e+00 7.230173281960611931e+00 6.061699985260080581e+00 8.970100620162600791e+00 9.961692138637143756e+00 8.145686632042481889e+00 9.545545302496694973e+00
9.696437472917679656e+00 8.960180447101967260e+00 9.437813507020727855e+00 7.103190817772641275e+00 8.948318715815059221e+00 6.167669192672781797e+00 8.789239332508955727e+00 7.976096162166492753e+00 8.732528639225975553e+00 9.368408981894424059e+00
5.077753201455860399e+00 9.137552188323475377e+00 9.471765892526939012e+00 8.187056469911601297e+00 8.379309680280751849e+00 9.251343096799640620e+00 6.532627411267698747e+00 7.366089408622379153e+00 8.323514213658503635e+00 5.119304033104578266e+00
4.842638100212309560e+00 5.796508795461279284e+00 7.638079806547238171e+00 4.396231210635192177e+00 9.101277298669096183e+00 9.346042006358700860e+00 8.219324590841416978e+00 7.409049409158953381e+00 9.724042287080498781e+00 7.578225666335867139e+00
4.678471860695225359e+00 9.887916405461629310e+00 9.814072062729586321e+00 9.241576824364521769e+00 4.785007026752776227e+00 7.439613749622665750e+00 7.055807892008512994e+00 6.447934552997486968e+00 9.123833615694222132e+00 9.901878675261153617e+00
6.184689195962262076e+00 8.549220769803474340e+00 8.300633800748640212e+00 6.708923568044063757e+00 7.214088568800915091e+00 6.949043407071005873e+00 7.522719803757571988e+00 9.869228694546501757e+00 7.870465162073075227e+00 7.039018137694109001e+00
9.661320938877203446e+00 9.192054112485937623e+00 9.648993165740995082e+00 6.830453957670179932e+00 8.166860390524622204e+00 8.205106510245727236e+00 6.798009231541150221e+00 6.358863608870271023e+00 8.108991574977489236e+00 8.799191484629302451e+00
7.791153368147735847e+00 9.143125256715057603e+00 9.171444290782044817e+00 7.163621929849850467e+00 9.649872012067980620e+00 7.280161794357064231e+00 8.212174830043583285e+00 6.403277203206461543e+00 7.979109561804616391e+00 9.650689815367067936e+00
7.863094539632394131e+00 9.024488171493944222e+00 9.866588625467981544e+00 8.381501166959877125e+00 6.904572035022422227e+00 9.961646405504779977e+00 8.272400026167566978e+00 6.293948526767422891e+00 8.180732670534299089e+00 6.390476455978115311e+00
4.489235216991343869e+00 8.752252733027628295e+00 8.386838632187634701e+00 7.537214966424699014e+00 5.417719098445448189e+00 8.586670024045828242e+00 8.057807267337871338e+00 4.847332131161556923e+00 8.355400345969595577e+00 7.781750887922109783e+00
9.619976863701117153e+00 9.858524147498188839e+00 8.448958257773009350e+00 9.321578251311121832e+00 6.486986662568247297e+00 4.053128587200453659e+00 8.770827073796885642e+00 6.074094095019303197e+00 9.731302395694658713e+00 8.708423809724477493e+00
9.383135173003479323e+00 9.549489564789361395e+00 6.376237610495429919e+00 8.891660250631778339e+00 9.200510812898988533e+00 6.060806632795432414e+00 9.448756903505113769e+00 9.119803881334311413e+00 9.569909897467640647e+00 8.258691227135496860e+00
8.849447093453477464e+00 9.549220419821374151e+00 8.508077462203278429e+00 7.932710380442402176e+00 7.229780534649202117e+00 7.083117822312789968e+00 9.696499431842195094e+00 9.119894530210402195e+00 8.778262227471639534e+00 8.435782832706049561e+00
8.158453845875403232e+00 9.701029735500766193e+00 4.531239010366379993e+00 9.047226463982140032e+00 9.586709907416318899e+00 9.723920565944929706e+00 9.641144626055108802e+00 7.025780321366425163e+00 9.777414282039556426e+00 7.376847072716945952e+00
8.612631156838311597e+00 9.139007427414750140e+00 8.983008014150806630e+00 9.501866394680000383e+00 7.731514532495326719e+00 7.054278345048468957e+00 9.371260379905077542e+00 5.833299776719662155e+00 8.688825284701994889e+00 8.234476630781685458e+00
8.815903071228177623e+00 7.297458875730973737e+00 9.807405296812126139e+00 8.265423131449271210e+00 6.426786325896109986e+00 8.180070260976629370e+00 9.534366688182373650e+00 7.409158340879972826e+00 8.253688627662670640e+00 8.953143180664469014e+00
8.930950977985942174e+00 9.377810985231342045e+00 9.807971635760591056e+00 6.505041962040996495e+00 8.690421291829279582e+00 9.328853529999101113e+00 9.210967787488305802e+00 5.391788266272006247e+00 9.578721209952684390e+00 8.468634257328526260e+00
6.927947342318981683e+00 9.841943967626898271e+00 8.510843044547335978e+00 8.581762537087071152e+00 7.622253117188071414e+00 7.606619900129477863e+00 9.065487091675981546e+00 9.536028790362150787e+00 9.097961194070519397e+00 8.700039181494595653e+00
9.360411914546675760e+00 8.359643137697849724e+00 7.644811793438138992e+00 7.454840797057955548e+00 4.344501139609115548e+00 9.425724627416050438e+00 9.146194939177945571e+00 8.546793500497159357e+00 9.147152025433662459e+00 8.643586862710165519e+00
7.638133489591053760e+00 6.873539840894817843e+00 9.158101113106891233e+00 5.506402902122773391e+00 3.903732226812618666e+00 9.886349401819957805e+00 7.095782987458931323e+00 6.601331764655726353e+00 8.943118177171495375e+00 7.811010939033931066e+00
9.787636460364366187e+00 5.881984488210539652e+00 8.203086868800951947e+00 3.538451287288006064e+00 5.102411318038648780e+00 9.323351284947454687e+00 7.781568191537616919e+00 8.086291203851128984e+00 8.147188886930186058e+00 8.520705616308513086e+00
9.362692401697106703e+00 6.553094273489819876e+00 9.321229217153131685e+00 9.125043312275785468e+00 7.380541715936641545e+00 9.056958127101648159e+00 8.769914955371019616e+00 6.469375510423969189e+00 9.556143326960505391e+00 9.009558421256148364e+00
9.977707753222958331e+00 7.968532850250269028e+00 9.675117337545959373e+00 8.663018658917055248e+00 6.278045916913780111e+00 8.782745179546250114e+00 9.167333809392417265e+00 9.880014085627458087e+00 8.418870814020014137e+00 8.519618830532865061e+00
9.881562229594020863e+00 8.429807812523606003e+00 7.788806149033868031e+00 6.665055913058281156e+00 6.421288120736758920e+00 8.978561690037565768e+00 7.435899360681251125e+00 9.564753167488591501e+00 8.729069194748054983e+00 7.244732836972003653e+00
9.667980385605588367e+00 7.259880127678486339e+00 8.517967117758674434e+00 4.872077873869628206e+00 5.415802561487259581e+00 8.984027879510756875e+00 6.340088061735744240e+00 5.531616902668783808e+00 7.491354015985453252e+00 9.414531381981795732e+00
5.870397947015484341e+00 9.136968037519880070e+00 9.003100655319768109e+00 5.083885694727149129e+00 6.601444770703840170e+00 7.568155937351791707e+00 7.651940144908763841e+00 8.744931118087258426e+00 8.088625143657781180e+00 9.212216951674919940e+00
9.119364120750816483e+00 9.391989205936475571e+00 9.313747887794233904e+00 6.388198116149117034e+00 8.339061169178634714e+00 9.951558177857895870e+00 9.352686059739495406e+00 8.937027332868021645e+00 8.726960616797249770e+00 7.041555382250756168e+00
9.513368569712707057e+00 7.955371058075956014e+00 9.930359221814672566e+00 6.957897830502846048e+00 8.352739546569386775e+00 6.937955924518635520e+00 9.004479907415534612e+00 5.834115682994692520e+00 7.777430389668507971e+00 9.084797901340316173e+00
6.308784108264296364e+00 8.984468924173530269e+00 9.724484421796944389e+00 7.964176991471429545e+00 9.555721828934176543e+00 8.518223431617126806e+00 9.109843452798521923e+00 8.156582523978032739e+00 7.832771604943323140e+00 6.874205317404964433e+00
9.834740337356707940e+00 7.572827366619533151e+00 9.803196849220507048e+00 6.380171189674341825e+00 8.198283774563426718e+00 9.487088562896412114e+00 7.023349770665491931e+00 9.657225354487597002e+00 9.984964503060595575e+00 7.314702485515579333e+00
8.895947563327890606e+00 7.004051459711762462e+00 7.464356104496344457e+00 7.222940751149384830e+00 8.590955162160913261e+00 7.324023684860532235e+00 7.663973579253422486e+00 7.691562814857022090e+00 7.699141269809094190e+00 7.955472757468815104e+00
9.874334282882486491e+00 8.057868905399892867e+00 9.091053654486364266e+00 6.015253499958412853e+00 6.828820891712179986e+00 5.363112308509835557e+00 8.526154399065351441e+00 8.191380003435316581e+00 8.987767414367601404e+00 7.260164981852714305e+00
9.857981283388204119e+00 9.023865456316597644e+00 9.936900548456913285e+00 5.732778387389898533e+00 8.038822679952961181e+00 6.739941654239029134e+00 7.886750368405370359e+00 8.782310672548508279e+00 7.431106321334242537e+00 8.798782445786777373e+00
9.801244277307187502e+00 8.504814874819780712e+00 9.653191158101860125e+00 5.982482328489244772e+00 9.924412113942015168e+00 8.649813637508561470e+00 6.312598155513662768e+00 8.660685213778835490e+00 5.899004780410926685e+00 6.894681901844593952e+00
7.641940549616914602e+00 8.645776156524112466e+00 8.311930460087953776e+00 6.611552185628974065e+00 8.333153647130933095e+00 6.632721915535944035e+00 4.319712628364886342e+00 7.853462464877976501e+00 7.445055251095926252e+00 6.662722329945754751e+00
7.672160196181504688e+00 9.755620545816675815e+00 8.383467434031222965e+00 7.841018786375482996e+00 7.797341034451921615e+00 9.005818540820818896e+00 5.143403036597426592e+00 6.951045876500359100e+00 9.181826127782372282e+00 7.719135374405597716e+00
7.915919842903884174e+00 7.194537356393503558e+00 5.345731111019504489e+00 8.977265887962877500e+00 9.846384778444967623e+00 9.247687981203512209e+00 7.753277097107120319e+00 7.482617733685569483e+00 7.594689009696319104e+00 9.919037990744826061e+00
7.371938990810633641e+00 8.382345637327823340e+00 6.241477349807216690e+00 8.104607626299229040e+00 9.448518498281785583e+00 5.921939042140577314e+00 8.386201046736786680e+00 7.614130746008184403e+00 8.456877120024424599e+00 9.669925879356998877e+00
8.754852526393836598e+00 9.769767066350478757e+00 7.400999456812591859e+00 8.844421043697208162e+00 5.789470638334456076e+00 9.045070978252256921e+00 9.470704967522973305e+00 9.620835124693769558e+00 6.257676249027297466e+00 8.475848822610295485e+00
9.943728570021084678e+00 8.472944944013894641e+00 7.193562612559706970e+00 8.975348202179674217e+00 9.033692482029973547e+00 4.247096890099581579e+00 8.917025104038925676e+00 8.617605393647409073e+00 5.900250499821243721e+00 9.266788477720506734e+00
8.200102848508100450e+00 8.351266784007059130e+00 7.668863225446123977e+00 9.303462147584989239e+00 8.521255430338412040e+00 7.044526177177232285e+00 9.125336054277008557e+00 8.782613416054598332e+00 9.485708745596243219e+00 8.032006941292864965e+00
9.128051189606749105e+00 8.538584215801378718e+00 9.098233619601858280e+00 8.747559673114722045e+00 6.005776675664868947e+00 8.781876488788569191e+00 9.565726806027210927e+00 8.738475509584546330e+00 9.546818697957968780e+00 7.860812172944520171e+00
9.419202925773657142e+00 8.690323716588752134e+00 9.598905683558029978e+00 7.349945923697453587e+00 7.526821841969725924e+00 6.807587367757876429e+00 9.753833727009775245e+00 6.519194038537171387e+00 5.103573009245943481e+00 7.116504630512567431e+00
8.506107909436352088e+00 4.102766226872075706e+00 9.887309953812573937e+00 7.977723519814215791e+00 8.870012694827922317e+00 6.257606245039184500e+00 9.734265528590034577e+00 6.390028874421586735e+00 9.216789534953440111e+00 5.970510112682206660e+00
7.484129766268163841e+00 6.658816849723439013e+00 8.824100823232720714e+00 9.219523900093252067e+00 6.312624119557689539e+00 9.245836777854501420e+00 5.889611351077148171e+00 7.281964635567216071e+00 4.886848819553216039e+00 6.102910854903050186e+00
