word.1	word.2	word.3	word.4	word.5	word.6	word.7	word.8	word.9	word.10	word.11	word.12	word.13	word.14	word.15	word.16	word.17	word.18	word.19	word.20	word.21	word.22	word.23	word.24	word.25	word.26	word.27	word.28	word.29	word.30	word.31	word.32	word.33	word.34	word.35	word.36	word.37	word.38	word.39	word.40	word.41	word.42	word.43	word.44	word.45	word.46	word.47	word.48	word.49	word.50	word.51	word.52	word.53	word.54	word.55	word.56	word.57	word.58	word.59	word.60	word.61	word.62	word.63	word.64	word.65	word.66	word.67	word.68	word.69	word.70	word.71	word.72	word.73	word.74	word.75	word.76	word.77	word.78	word.79	word.80	word.81	word.82	word.83	word.84	word.85	word.86	word.87	word.88	word.89	word.90	
0.0118406 0.0108903 0.0106561 0.0112049 0.0114284 0.0110168 0.0107942 0.0112966 0.0106101 0.0114058 0.0105196 0.0118687 0.0123081 0.0104890 0.0105016 0.0110052 0.0104758 0.0113780 0.0104844 0.0106766 0.0117502 0.0105969 0.0107403 0.0116315 0.0115243 0.0109441 0.0103403 0.0104180 0.0108345 0.0112833 0.0109729 0.0110454 0.0110505 0.0108430 0.0111667 0.0129137 0.0110785 0.0116958 0.0107462 0.0117585 0.0106289 0.0106319 0.0116262 0.0109215 0.0123451 0.0112702 0.0109106 0.0118305 0.0117139 0.0117967 0.0104764 0.0104795 0.0109719 0.0103318 0.0126876 0.0113518 0.0115235 0.0111154 0.0108838 0.0105873 0.0105841 0.0109821 0.0112560 0.0110076 0.0115280 0.0114505 0.0117840 0.0127823 0.0109569 0.0122783 0.0119783 0.0106263 0.0104014 0.0106188 0.0103775 0.0103627 0.0110627 0.0110588 0.0117783 0.0105465 0.0111037 0.0110465 0.0107819 0.0105392 0.0111443 0.0107544 0.0106204 0.0106405 0.0106257 0.0110522
0.0109685 0.0118547 0.0105200 0.0103297 0.0104070 0.0106517 0.0121398 0.0108660 0.0109052 0.0107643 0.0108772 0.0108402 0.0107006 0.0120833 0.0116118 0.0123847 0.0113665 0.0106300 0.0106374 0.0111442 0.0104372 0.0110009 0.0110031 0.0105553 0.0106650 0.0113315 0.0122481 0.0117167 0.0121154 0.0108683 0.0111216 0.0108260 0.0105108 0.0116778 0.0102912 0.0106885 0.0108077 0.0102558 0.0107603 0.0121308 0.0103353 0.0108011 0.0109536 0.0108683 0.0101771 0.0122359 0.0131135 0.0102881 0.0111439 0.0104929 0.0118119 0.0107762 0.0117122 0.0111577 0.0111914 0.0107838 0.0118073 0.0106955 0.0113140 0.0111772 0.0109901 0.0108320 0.0114314 0.0109154 0.0109490 0.0107180 0.0111452 0.0119093 0.0109180 0.0116486 0.0109252 0.0109965 0.0111737 0.0109319 0.0111855 0.0108509 0.0113078 0.0117533 0.0105335 0.0102490 0.0119192 0.0121622 0.0112075 0.0122561 0.0111635 0.0108022 0.0108663 0.0108962 0.0112590 0.0105720
0.0107035 0.0108248 0.0106317 0.0103898 0.0109034 0.0108193 0.0103083 0.0109972 0.0106177 0.0109260 0.0103488 0.0111827 0.0106571 0.0106431 0.0109591 0.0106701 0.0123728 0.0116920 0.0119982 0.0118964 0.0120047 0.0105182 0.0119312 0.0121339 0.0109575 0.0109122 0.0105330 0.0115726 0.0107095 0.0111444 0.0110424 0.0114288 0.0110291 0.0111357 0.0103460 0.0108407 0.0114616 0.0125393 0.0112790 0.0104454 0.0111587 0.0104652 0.0104203 0.0107528 0.0111896 0.0112570 0.0113061 0.0110173 0.0113019 0.0120271 0.0106820 0.0106776 0.0108438 0.0108995 0.0114887 0.0134397 0.0132829 0.0107865 0.0103995 0.0104391 0.0106553 0.0103632 0.0103516 0.0115465 0.0105020 0.0114712 0.0098591 0.0103152 0.0119953 0.0114298 0.0119520 0.0110572 0.0109576 0.0104035 0.0111838 0.0107330 0.0105804 0.0123334 0.0107733 0.0108367 0.0108781 0.0109434 0.0117862 0.0112704 0.0107193 0.0122901 0.0116425 0.0115506 0.0111293 0.0111478
0.0112651 0.0108366 0.0109760 0.0106306 0.0118440 0.0108287 0.0117387 0.0109276 0.0105918 0.0119559 0.0116060 0.0115898 0.0107004 0.0118619 0.0108416 0.0112247 0.0113280 0.0108192 0.0109618 0.0106840 0.0113089 0.0116954 0.0118989 0.0115574 0.0112782 0.0108669 0.0118698 0.0109776 0.0115500 0.0107769 0.0136013 0.0105459 0.0107594 0.0111105 0.0115723 0.0109572 0.0104869 0.0120209 0.0115774 0.0102095 0.0106444 0.0106366 0.0107692 0.0115984 0.0115997 0.0110086 0.0112739 0.0103056 0.0108113 0.0106415 0.0108954 0.0116632 0.0106120 0.0113402 0.0113013 0.0118280 0.0109879 0.0133036 0.0106111 0.0106946 0.0102990 0.0104744 0.0106477 0.0108213 0.0104588 0.0113076 0.0113508 0.0103938 0.0116783 0.0110541 0.0106862 0.0103826 0.0113379 0.0106500 0.0101190 0.0132858 0.0117132 0.0108888 0.0108523 0.0107173 0.0118783 0.0107904 0.0102290 0.0103966 0.0105919 0.0108452 0.0105706 0.0108389 0.0122129 0.0101664
0.0110267 0.0120566 0.0128923 0.0105671 0.0112894 0.0121449 0.0116906 0.0106450 0.0116488 0.0103974 0.0114609 0.0113855 0.0109470 0.0117783 0.0115630 0.0106065 0.0115693 0.0106793 0.0119987 0.0104476 0.0104846 0.0111479 0.0110511 0.0116612 0.0119852 0.0106104 0.0112805 0.0101561 0.0122912 0.0128238 0.0104928 0.0105813 0.0110825 0.0098235 0.0107979 0.0109122 0.0127126 0.0107533 0.0102652 0.0104552 0.0121606 0.0119471 0.0119842 0.0107316 0.0105244 0.0107758 0.0108116 0.0106107 0.0112016 0.0112566 0.0107150 0.0101865 0.0110689 0.0117781 0.0107351 0.0109552 0.0107647 0.0117861 0.0108972 0.0102748 0.0105316 0.0107787 0.0121519 0.0104837 0.0106362 0.0109669 0.0107063 0.0111541 0.0105577 0.0102544 0.0102124 0.0108692 0.0102781 0.0102152 0.0104711 0.0115171 0.0125380 0.0106728 0.0106990 0.0116831 0.0112470 0.0125058 0.0118362 0.0111703 0.0103132 0.0104733 0.0107990 0.0115591 0.0121919 0.0111974
0.0109680 0.0118542 0.0105196 0.0103292 0.0104066 0.0106513 0.0121393 0.0108656 0.0109047 0.0107639 0.0108768 0.0108398 0.0107001 0.0120828 0.0116114 0.0123841 0.0113660 0.0106401 0.0106476 0.0111543 0.0104473 0.0110005 0.0110027 0.0105548 0.0106646 0.0113310 0.0122476 0.0117162 0.0121149 0.0108679 0.0111211 0.0108255 0.0105104 0.0116773 0.0102907 0.0106881 0.0108072 0.0102554 0.0107598 0.0121302 0.0103348 0.0108006 0.0109531 0.0108678 0.0101766 0.0122354 0.0131130 0.0102876 0.0111434 0.0104924 0.0118114 0.0107758 0.0117117 0.0111573 0.0111909 0.0107833 0.0118068 0.0106951 0.0113136 0.0111767 0.0109896 0.0108315 0.0114309 0.0109150 0.0109485 0.0107175 0.0111447 0.0119088 0.0109175 0.0116481 0.0109247 0.0109960 0.0111733 0.0109315 0.0111850 0.0108504 0.0113073 0.0117528 0.0105331 0.0102486 0.0119187 0.0121617 0.0112071 0.0122556 0.0111630 0.0108018 0.0108658 0.0108958 0.0112586 0.0105715
0.0110266 0.0120565 0.0128922 0.0105670 0.0112893 0.0121448 0.0116905 0.0106449 0.0116487 0.0103974 0.0114608 0.0113854 0.0109469 0.0117781 0.0115628 0.0106064 0.0115692 0.0106792 0.0119986 0.0104475 0.0104845 0.0111477 0.0110509 0.0116612 0.0119851 0.0106131 0.0112833 0.0101589 0.0122911 0.0128237 0.0104927 0.0105812 0.0110824 0.0098234 0.0107978 0.0109121 0.0127125 0.0107532 0.0102651 0.0104551 0.0121606 0.0119470 0.0119841 0.0107315 0.0105243 0.0107757 0.0108115 0.0106106 0.0112015 0.0112565 0.0107149 0.0101864 0.0110688 0.0117780 0.0107350 0.0109551 0.0107646 0.0117860 0.0108971 0.0102747 0.0105315 0.0107786 0.0121518 0.0104837 0.0106361 0.0109668 0.0107062 0.0111540 0.0105576 0.0102543 0.0102123 0.0108691 0.0102780 0.0102151 0.0104710 0.0115170 0.0125379 0.0106727 0.0106990 0.0116830 0.0112469 0.0125057 0.0118361 0.0111703 0.0103131 0.0104732 0.0107989 0.0115590 0.0121918 0.0111973
0.0118297 0.0108803 0.0106464 0.0111946 0.0114179 0.0110068 0.0107843 0.0112862 0.0106003 0.0113953 0.0105100 0.0118579 0.0122968 0.0105194 0.0105206 0.0110237 0.0104948 0.0115253 0.0106325 0.0108245 0.0118972 0.0106116 0.0107549 0.0116322 0.0115251 0.0109635 0.0103602 0.0104378 0.0108246 0.0112729 0.0109629 0.0110352 0.0110404 0.0108331 0.0111564 0.0129018 0.0110683 0.0116851 0.0107363 0.0117478 0.0106192 0.0106221 0.0116156 0.0109114 0.0123338 0.0112599 0.0109006 0.0118197 0.0117032 0.0117859 0.0104668 0.0104699 0.0109618 0.0103223 0.0126760 0.0113414 0.0115129 0.0111052 0.0108738 0.0105776 0.0105744 0.0109721 0.0112457 0.0109975 0.0115174 0.0114400 0.0117732 0.0127706 0.0109469 0.0122670 0.0119674 0.0106166 0.0103919 0.0106091 0.0103680 0.0103532 0.0110525 0.0110486 0.0117675 0.0105369 0.0110935 0.0110364 0.0107721 0.0105296 0.0111341 0.0107446 0.0106107 0.0106308 0.0106160 0.0110421
0.0110273 0.0120565 0.0128922 0.0105670 0.0112893 0.0121448 0.0116905 0.0106449 0.0116487 0.0103973 0.0114608 0.0113854 0.0109469 0.0117781 0.0115628 0.0106064 0.0115692 0.0106792 0.0119986 0.0104475 0.0104845 0.0111476 0.0110508 0.0116611 0.0119851 0.0106131 0.0112833 0.0101589 0.0122911 0.0128237 0.0104927 0.0105812 0.0110824 0.0098234 0.0107978 0.0109121 0.0127125 0.0107532 0.0102651 0.0104551 0.0121605 0.0119470 0.0119841 0.0107315 0.0105243 0.0107757 0.0108115 0.0106106 0.0112015 0.0112565 0.0107149 0.0101864 0.0110688 0.0117780 0.0107350 0.0109551 0.0107646 0.0117860 0.0108971 0.0102747 0.0105315 0.0107786 0.0121518 0.0104837 0.0106361 0.0109668 0.0107062 0.0111540 0.0105576 0.0102543 0.0102123 0.0108691 0.0102780 0.0102151 0.0104710 0.0115170 0.0125379 0.0106727 0.0106990 0.0116830 0.0112469 0.0125057 0.0118361 0.0111703 0.0103131 0.0104732 0.0107989 0.0115590 0.0121918 0.0111973
0.0117107 0.0106873 0.0116513 0.0113193 0.0120707 0.0106950 0.0107055 0.0119914 0.0116336 0.0114966 0.0109200 0.0105284 0.0118111 0.0110836 0.0107198 0.0113490 0.0112397 0.0107233 0.0118397 0.0106870 0.0103967 0.0109602 0.0110601 0.0109445 0.0127315 0.0107162 0.0106700 0.0109318 0.0106444 0.0118933 0.0119183 0.0125088 0.0108396 0.0108238 0.0103742 0.0113180 0.0108506 0.0105706 0.0119745 0.0104658 0.0117801 0.0110518 0.0107435 0.0112677 0.0110152 0.0111554 0.0108176 0.0106325 0.0104193 0.0108214 0.0106850 0.0106761 0.0113486 0.0108170 0.0113303 0.0113900 0.0107979 0.0108117 0.0105254 0.0107673 0.0119882 0.0111945 0.0129298 0.0119605 0.0120385 0.0118018 0.0103034 0.0108751 0.0103031 0.0113988 0.0111652 0.0109936 0.0117327 0.0113701 0.0107353 0.0107554 0.0106045 0.0103387 0.0109478 0.0105790 0.0107069 0.0105342 0.0111549 0.0114138 0.0114065 0.0110548 0.0109425 0.0104933 0.0111085 0.0108589
0.0110275 0.0121914 0.0106693 0.0112446 0.0107849 0.0123897 0.0107198 0.0108390 0.0103964 0.0117651 0.0119499 0.0103022 0.0117483 0.0110339 0.0112554 0.0121961 0.0108586 0.0106433 0.0110191 0.0107196 0.0110316 0.0121565 0.0121725 0.0106349 0.0106530 0.0108668 0.0102701 0.0107072 0.0110911 0.0110025 0.0110919 0.0120077 0.0123986 0.0119106 0.0106163 0.0112549 0.0108181 0.0110946 0.0104633 0.0106956 0.0105586 0.0105801 0.0108161 0.0110428 0.0113125 0.0111971 0.0111034 0.0106204 0.0105815 0.0104857 0.0113034 0.0117710 0.0115564 0.0106824 0.0107132 0.0117814 0.0107673 0.0109253 0.0125287 0.0108742 0.0109160 0.0108675 0.0106541 0.0104803 0.0106969 0.0105346 0.0107615 0.0107615 0.0106096 0.0110270 0.0116378 0.0118391 0.0108259 0.0107347 0.0123703 0.0110868 0.0112385 0.0110091 0.0111457 0.0116317 0.0111493 0.0113190 0.0112503 0.0104705 0.0120964 0.0105571 0.0105124 0.0118213 0.0108070 0.0112947
0.0127125 0.0110759 0.0121585 0.0120403 0.0107377 0.0109315 0.0114986 0.0110801 0.0117276 0.0114402 0.0101861 0.0110050 0.0105766 0.0120001 0.0110185 0.0106943 0.0103430 0.0101192 0.0104423 0.0107107 0.0111051 0.0101460 0.0111868 0.0104170 0.0110211 0.0112701 0.0111888 0.0105555 0.0108130 0.0118248 0.0113006 0.0108250 0.0109334 0.0110694 0.0126846 0.0107298 0.0108615 0.0110230 0.0111139 0.0107953 0.0106319 0.0118849 0.0124773 0.0106279 0.0109695 0.0109178 0.0106506 0.0108224 0.0105991 0.0115534 0.0107492 0.0105941 0.0115157 0.0118538 0.0107512 0.0106559 0.0108693 0.0110324 0.0101001 0.0119894 0.0111424 0.0111737 0.0106097 0.0105764 0.0128533 0.0112169 0.0110185 0.0110520 0.0108394 0.0109532 0.0113474 0.0118904 0.0114188 0.0110753 0.0109192 0.0111508 0.0121061 0.0107521 0.0117704 0.0106738 0.0127502 0.0110029 0.0110653 0.0104523 0.0107993 0.0108746 0.0106896 0.0104374 0.0109462 0.0118336
0.0118279 0.0109067 0.0106447 0.0111929 0.0114161 0.0110050 0.0107826 0.0112845 0.0105987 0.0113935 0.0105084 0.0118560 0.0122949 0.0105168 0.0105182 0.0110213 0.0104924 0.0115198 0.0106271 0.0108191 0.0118916 0.0106093 0.0107526 0.0116301 0.0115230 0.0109611 0.0103579 0.0104355 0.0108342 0.0112823 0.0109723 0.0110446 0.0110668 0.0108595 0.0112051 0.0128998 0.0110666 0.0116832 0.0107346 0.0117459 0.0106175 0.0106205 0.0116137 0.0109097 0.0123319 0.0112581 0.0108989 0.0118178 0.0117013 0.0117840 0.0104651 0.0104682 0.0109601 0.0103207 0.0126740 0.0113396 0.0115111 0.0111035 0.0108721 0.0105759 0.0105728 0.0109703 0.0112439 0.0109957 0.0115156 0.0114382 0.0117713 0.0127686 0.0109452 0.0122651 0.0119655 0.0106149 0.0103902 0.0106074 0.0103663 0.0103516 0.0110508 0.0110469 0.0117656 0.0105352 0.0110918 0.0110346 0.0107704 0.0105279 0.0111324 0.0107429 0.0106090 0.0106291 0.0106143 0.0110404
