sender	time
5 0.15
2 0.38
10 1.06
7 2.44
1 2.82
2 3.15
1 3.92
5 4.23
1 4.61
8 5.22
4 5.65
6 6.24
5 6.63
1 7.41
7 7.63
5 8.05
1 8.74
7 9.47
3 9.86
2 10.05
5 10.89
4 11.83
3 12.17
2 12.52
3 13.32
7 14.35
9 15.07
2 15.38
1 15.98
10 16.45
7 16.64
4 17.12
3 17.80
8 18.10
3 18.76
2 19.89
10 20.26
2 20.89
4 21.91
9 22.30
9 22.99
5 23.93
7 24.43
10 24.61
9 25.03
4 25.45
6 26.09
9 26.45
1 26.70
8 27.12
8 27.73
3 28.10
10 29.25
3 29.85
10 30.19
7 30.66
4 30.84
8 31.27
7 31.69
6 31.93
1 32.23
10 32.74
10 33.38
5 33.64
6 34.00
1 34.47
5 35.34
3 36.16
7 36.83
6 37.13
3 38.15
4 39.23
8 39.65
3 40.21
2 41.06
6 41.33
1 41.69
5 42.77
10 43.10
8 43.42
9 45.15
4 45.54
2 46.23
5 46.80
1 47.25
6 47.91
9 48.24
8 49.65
2 50.39
10 51.06
1 52.13
6 52.42
2 52.80
8 53.17
3 54.54
4 55.58
1 55.95
5 57.63
6 58.03
4 58.71
9 58.91
7 59.69
1 60.34
7 62.78
5 63.11
1 64.20
1 64.96
3 65.15
1 65.89
7 66.26
8 66.63
7 67.00
1 67.68
4 67.92
8 68.36
1 68.77
4 69.11
6 70.75
8 72.23
6 72.50
4 73.47
3 74.55
10 75.23
10 75.88
3 76.68
6 77.42
2 77.72
4 78.01
3 78.67
9 79.10
3 79.42
1 79.85
2 80.43
6 80.75
7 81.78
3 82.12
7 82.56
2 85.01
3 85.34
4 86.09
6 87.40
8 88.14
2 88.43
8 88.71
5 89.08
3 89.43
8 90.17
1 90.85
2 91.22
7 91.50
8 92.97
4 93.28
9 94.39
5 94.59
9 94.98
6 95.40
7 95.74
6 96.13
2 96.37
7 97.10
5 97.39
5 98.47
4 99.50
2 99.83
