influence.1.1		influence.1.2		influence.1.3		influence.1.4		influence.1.5		influence.1.6		influence.2.1		influence.2.2		influence.2.3		influence.2.4		influence.2.5		influence.2.6		influence.3.1		influence.3.2		influence.3.3		influence.3.4		influence.3.5		influence.3.6		influence.4.1		influence.4.2		influence.4.3		influence.4.4		influence.4.5		influence.4.6		influence.5.1		influence.5.2		influence.5.3		influence.5.4		influence.5.5		influence.5.6		influence.6.1		influence.6.2		influence.6.3		influence.6.4		influence.6.5		influence.6.6		
0.000000000000000000e+00 6.213200485501735315e-02 1.627223115949500257e-12 7.072597277516162739e-01 9.738771617658039246e-07 8.153869637363484777e-09 5.979383475831302027e-06 0.000000000000000000e+00 2.545400853384318744e-15 4.618070452503750256e-01 8.409240492307108028e-14 9.799451558948318373e-06 5.437521980049944117e-10 3.970866259021333944e-01 0.000000000000000000e+00 7.630854622222997818e-01 1.839966945289448041e+00 1.115588189094930627e+00 1.420531194833716225e-02 9.003277873507321664e-04 7.123901770963297702e-07 0.000000000000000000e+00 9.901537831251045162e-18 3.505356111957808607e-01 2.274073379046981890e-03 5.780315503607669214e+00 9.077342714509302410e-14 1.553338911598941552e+00 0.000000000000000000e+00 8.218034060549703756e-01 7.036616710113929687e-06 4.765996287084063109e-07 1.139767588820497172e-08 2.240467161677659913e+00 1.282774461727184085e-17 0.000000000000000000e+00
0.000000000000000000e+00 6.016054634937048617e-02 2.285560531633611785e-12 8.211897279023041563e-01 9.286437257572260629e-07 1.768054325706508076e-08 1.465739958797256401e-05 0.000000000000000000e+00 7.685858800886579903e-16 2.528386804519744957e-01 1.895990553381133769e-13 4.181185683952666146e-06 2.297611685458278117e-11 8.362063415218994322e-01 0.000000000000000000e+00 9.362228915405385044e-01 4.255952022543220137e-01 2.993221554084181335e+00 1.451299595287449881e-02 1.413869290050300724e-03 1.129189023102309528e-06 0.000000000000000000e+00 8.023420099660527779e-18 4.262042882588171544e+00 2.652566938005713657e-04 2.714810572170514913e+00 8.075097174630687513e-14 2.869107180210823671e-01 0.000000000000000000e+00 1.226084881882069544e+00 2.350825463502345070e-05 7.424934216623867813e-09 8.084256272491688623e-08 3.892445514951657692e+00 7.414601076863638310e-17 0.000000000000000000e+00
0.000000000000000000e+00 9.494734547062208541e-02 1.473973306065943952e-12 8.129321226801227152e-01 2.432340211448825665e-05 2.529735436744525014e-08 3.607277090886012083e-05 0.000000000000000000e+00 6.438648252681787799e-16 1.206456250195418467e-01 1.040402398535816869e-12 7.967860300089779526e-05 2.614094560896034623e-12 8.332256107800433131e-01 0.000000000000000000e+00 2.653793705460060437e+00 3.899518330290990153e+00 3.336164397921705493e+00 9.165929884478583867e-03 1.281723312860758371e-03 3.967734181075649618e-07 0.000000000000000000e+00 1.133291966894509356e-17 1.113263732644339976e+00 9.408235501444133159e-05 3.280891426703428149e+00 7.725350222769737925e-14 4.107506598804848141e-01 0.000000000000000000e+00 2.994462601900806931e+00 7.702663236524971969e-07 2.524203861972132356e-08 8.718108934942873530e-08 7.975807009720810470e+00 5.267423604116741879e-17 0.000000000000000000e+00
0.000000000000000000e+00 1.372113310883662229e-01 1.893207575486595843e-11 6.636073922568405115e-01 2.283492977147563970e-05 1.798708299716430805e-06 2.292408569267254142e-05 0.000000000000000000e+00 4.563906676243215179e-17 7.557443186231688204e-02 3.898967042576504558e-12 9.295841781913881475e-06 1.648230726112981157e-12 1.933657914470996442e+00 0.000000000000000000e+00 2.191098998688088884e+00 6.222790067065945507e+00 9.555300637577646583e+00 3.505687723168382335e-03 5.614104162823252680e-04 1.370491740622058029e-07 0.000000000000000000e+00 1.423028591336999899e-17 5.414242374826214732e-01 6.096523130145342379e-04 4.313505951723259457e+00 1.232950509797336492e-13 2.505919635352806818e+00 0.000000000000000000e+00 1.643617143390170732e+00 4.345623093720993566e-07 1.549908622888344601e-08 1.077874343163730365e-07 7.757940916659001651e+00 1.059299063942912431e-15 0.000000000000000000e+00
0.000000000000000000e+00 1.548804662870796323e-01 2.729366697279405616e-11 7.603255455119091621e+00 2.484127825713899120e-05 4.533299845268995365e-07 1.056946864674824079e-04 0.000000000000000000e+00 2.920375219288056247e-17 2.569927011614072665e-01 3.104196326762572382e-12 3.233698720047065035e-06 5.561388863421684931e-12 3.500848966857846856e-01 0.000000000000000000e+00 1.220580204916006606e+00 4.943692879458586376e+00 3.772059019783882139e+00 2.812977872350954853e-03 4.686850944030564333e-04 7.733262472231288551e-08 0.000000000000000000e+00 3.197007827407271074e-18 9.299860594978826001e-01 7.961310129684958227e-05 8.002320907181359466e-01 2.426570263748352520e-14 9.616560853415329291e+00 0.000000000000000000e+00 3.654015936535599529e+00 5.207813267246766834e-07 1.208933216096106866e-08 1.665002772305157890e-08 1.309036725054862682e+00 7.204541133243679796e-16 0.000000000000000000e+00
0.000000000000000000e+00 8.479267582960109406e-02 1.678602731480628918e-11 2.331360161793964103e+00 3.819406373833352311e-04 3.141957043488414681e-08 1.211994378139571288e-04 0.000000000000000000e+00 1.548300407766739859e-18 2.768221762891115989e-01 3.407912823947497672e-12 4.902956956805316185e-06 8.761791943236949788e-12 5.733602842835328756e-02 0.000000000000000000e+00 2.657254976429958671e+00 5.792627720011367387e+00 7.087473140684627637e+00 1.826467892704880091e-03 6.457302480397864768e-04 7.872899665550743090e-08 0.000000000000000000e+00 1.139230071470152118e-18 2.174176721684531799e+00 1.591274206276366266e-04 1.782938064790604571e-01 5.564968712677028924e-14 1.663207745996627240e+00 0.000000000000000000e+00 2.421987819210829063e+00 4.954439493505316940e-07 1.281838077725288552e-08 1.260739889910265108e-08 1.071726113390303770e+00 3.516790072151459347e-16 0.000000000000000000e+00
0.000000000000000000e+00 9.588990817934064936e-02 9.797909592853052850e-13 5.125690282578274193e+00 2.355230766497537248e-04 2.456559013621676220e-06 2.105205239474621347e-05 0.000000000000000000e+00 6.486322187610113853e-19 5.410101158641433816e-01 4.059773802135574707e-12 1.364529282857578659e-06 1.891363986974393051e-11 1.450895727658053826e-03 0.000000000000000000e+00 2.364031741403719078e+00 8.762199004418638637e+00 7.485518789212883384e+00 3.098187602684162635e-03 6.296863598111378767e-04 2.537614878228139467e-06 0.000000000000000000e+00 2.339025778801414669e-18 4.582993667321938247e+00 1.433402919076572188e-04 3.577071436766607881e-01 3.764482857181302112e-14 4.938291573502897047e-01 0.000000000000000000e+00 6.198946101536751740e+00 1.269641153146215018e-06 3.006251706937100327e-09 7.099544812389959082e-09 6.218567286886749201e-01 5.168880867445676209e-16 0.000000000000000000e+00
0.000000000000000000e+00 7.842690768029519921e-02 1.481113786685986526e-12 5.179932402532930524e+00 2.228694036465225618e-04 2.406261012278722299e-06 1.094876296355384133e-04 0.000000000000000000e+00 2.155542938140826555e-18 2.049174656178189835e+00 2.830060467969445866e-12 5.021160084411792622e-06 1.806989971962938590e-11 7.273265846088811971e-03 0.000000000000000000e+00 1.114317343742039057e+00 7.196096191137777431e+00 3.219173445255588462e+00 3.917358164249241936e-02 3.754798576725333886e-03 5.012993739721909831e-07 0.000000000000000000e+00 7.891420422991419480e-18 3.902750228131401045e+00 5.903310799111998733e-04 3.400247120362724640e-02 5.187941708089473210e-14 8.587377838060535895e-01 0.000000000000000000e+00 6.099265347558256778e+00 4.882203995653911357e-07 5.130867778190117364e-09 9.693341250759760361e-09 1.130193047792755534e+00 5.873792418031334204e-16 0.000000000000000000e+00
0.000000000000000000e+00 2.909188646767867439e-02 6.098276518444825033e-13 1.251959902501264210e+00 2.830646876386493896e-04 4.066985370280713601e-05 1.509419138721741738e-04 0.000000000000000000e+00 1.720292832707362485e-18 3.976339294426758819e+00 1.775441968876585777e-12 2.494963737566054563e-05 1.917853428825019902e-11 9.376430874229841565e-04 0.000000000000000000e+00 1.319730435862766171e+00 7.382926283021233438e+00 5.120528131451381526e+00 2.270237489531023826e-03 3.461892777143524714e-03 9.317564894804003965e-07 0.000000000000000000e+00 3.405815702557281879e-17 2.477864922599283481e+00 3.435348561014963287e-04 3.107393548979054537e-02 1.315994527173463221e-13 1.910882062477416543e+00 0.000000000000000000e+00 2.728349583171341575e+00 1.544108322512342783e-07 5.880264060975382438e-09 3.968720047251739499e-09 2.039401458883557616e+00 8.092111350762259348e-16 0.000000000000000000e+00
0.000000000000000000e+00 2.001722836391621463e-02 3.802796189754608424e-13 2.795850530288712221e+00 2.905502460724444617e-03 8.104003776699165193e-05 1.514733545638027477e-04 0.000000000000000000e+00 2.771865007051040298e-20 3.645634375967410357e+00 2.622153306939981904e-12 2.542273863496221915e-06 3.312004560591604573e-11 1.961570978342471318e-04 0.000000000000000000e+00 2.969341538430576577e+00 8.043042011298302540e+00 2.031811046494173212e+00 9.514859442841286071e-04 6.010188788845165914e-03 8.808713721843107956e-07 0.000000000000000000e+00 1.891708960406292275e-16 7.740960387771181672e+00 6.048697810063352999e-04 3.328653847541339361e-02 5.739784591009214367e-14 8.859948610113632661e-01 0.000000000000000000e+00 4.959439900811352331e+00 1.206015249310939766e-08 8.871866861205267875e-09 8.065406336689908977e-09 4.650808064378520790e+00 1.383103414380042228e-17 0.000000000000000000e+00
