log.prior	log.likelihood	log.likelihood.test.set
-1.155112699976169552e+03 -3.675340788374644490e+02 -1.520969455960084815e+01
-1.157016714541041893e+03 -3.721169679436849265e+02 -1.521589569222683735e+01
-1.151813379345794601e+03 -3.705623262502456328e+02 -1.503999978163963647e+01
-1.173377706335169023e+03 -3.692087332394139025e+02 -1.521326218494192517e+01
-1.158409577281265683e+03 -3.700662090643130568e+02 -1.541733872378674164e+01
-1.160167785532204107e+03 -3.675789768298939180e+02 -1.514448337461305982e+01
-1.168392590242693359e+03 -3.681979168446034123e+02 -1.518024311068685961e+01
-1.173109533835377306e+03 -3.691641616840054212e+02 -1.546574162316798606e+01
-1.167784762098256806e+03 -3.704325735643186590e+02 -1.579569074323757150e+01
-1.158678106828736873e+03 -3.730819947933543972e+02 -1.619369995605373447e+01
-1.152239744815115046e+03 -3.721162315742854503e+02 -1.655979132966876932e+01
-1.143956374746073379e+03 -3.704855725219500187e+02 -1.630932638988656436e+01
-1.162107334117774826e+03 -3.724612520414946175e+02 -1.614725391458301829e+01
-1.183057681929105001e+03 -3.719828358378966300e+02 -1.570216356618752229e+01
-1.181296374188863638e+03 -3.721979720493183663e+02 -1.605717005621841054e+01
-1.167499685832581690e+03 -3.708743301080384072e+02 -1.624364436898554231e+01
-1.174698352590981813e+03 -3.705475642892238852e+02 -1.649322966569317828e+01
-1.177180785348675272e+03 -3.710507684829524351e+02 -1.652236281447815713e+01
-1.163674586793704293e+03 -3.676274993704714689e+02 -1.636977056597399383e+01
-1.156510400174840015e+03 -3.693678204470683113e+02 -1.651249224973150831e+01
-1.166004340049623806e+03 -3.730381670896364312e+02 -1.671506061449966296e+01
-1.170927953211987187e+03 -3.723693614651190273e+02 -1.599949577791318234e+01
-1.171519687062550702e+03 -3.699729461130766595e+02 -1.628846594600832987e+01
-1.177147313747692806e+03 -3.705144718766179608e+02 -1.645586688029749212e+01
-1.174181698023391618e+03 -3.726939001742810547e+02 -1.628332992993685480e+01
-1.163444013115332837e+03 -3.730190052972836838e+02 -1.620885515149680600e+01
-1.165659827988957204e+03 -3.757947779049045494e+02 -1.647219459421245347e+01
-1.166737898552273919e+03 -3.715882730502937648e+02 -1.686837374787717181e+01
-1.156895401558092999e+03 -3.728820234206464193e+02 -1.689796148823629096e+01
-1.150976322147436349e+03 -3.708134075172422399e+02 -1.662427212750034755e+01
-1.145167018392490490e+03 -3.691307710024802873e+02 -1.663741795128822787e+01
-1.144509116431176153e+03 -3.705259312875139130e+02 -1.612451351970852897e+01
-1.136651317606224893e+03 -3.720935654291689616e+02 -1.605637670819041318e+01
-1.139560398163181617e+03 -3.726156064583150282e+02 -1.463947611031207430e+01
-1.144866191915840773e+03 -3.717873987797285054e+02 -1.568066295200807758e+01
-1.155399351710998417e+03 -3.700812932940324913e+02 -1.622934721483775888e+01
-1.160181510376882898e+03 -3.727295666495847968e+02 -1.655824462962351618e+01
-1.152767523068798027e+03 -3.720212535441253294e+02 -1.574652862369561035e+01
-1.148596306080852855e+03 -3.737824585298918691e+02 -1.559537457146254269e+01
-1.147799336084737206e+03 -3.722832795817226383e+02 -1.521911315230465789e+01
