time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	
8.866038024286513064e+01 1.020573152226732816e+02 8.683158563483718240e+01 9.658367577986501828e+01 1.145854539006053159e+02 9.498484601990288922e+01
8.403225877638115549e+01 1.127556567416491475e+02 9.963648026412469960e+01 1.028126262304744216e+02 1.171136707474460223e+02 1.026556741153682708e+02
1.007604118219532836e+02 1.055999333064623045e+02 9.796741458950168635e+01 9.617139497124159675e+01 1.061855718853806252e+02 1.042476876256930041e+02
9.901054194547539566e+01 8.144220814695981403e+01 1.205716784393170826e+02 1.054123353273488704e+02 1.114152934072943566e+02 1.000517095452657372e+02
9.927275104445446630e+01 1.182337409198675857e+02 1.021476903394766111e+02 9.912771203959317745e+01 8.712880953935201944e+01 1.134709105663595921e+02
9.822769732521888386e+01 1.084132272960981851e+02 1.024986068199695808e+02 8.644643560220580980e+01 8.884705675748784870e+01 1.076914281332331313e+02
1.121486002885544480e+02 1.007522031865405552e+02 1.067945667804199275e+02 8.409864119566832130e+01 1.074999681359778378e+02 9.447797727667213508e+01
1.160176690880604724e+02 8.937573481028722711e+01 1.050471098461151485e+02 1.078031306935876330e+02 1.090397675531746415e+02 1.133798726688768141e+02
1.082081578304502187e+02 1.179821822332891941e+02 1.186719606652443559e+02 1.130640347436909394e+02 1.150457130652219462e+02 1.011486819586129968e+02
1.118919394805598841e+02 1.166393189876558836e+02 8.511499253926805864e+01 9.261760763324730306e+01 1.078236521549120681e+02 9.595219604306853967e+01
7.533950270320563902e+01 1.125278273247961351e+02 9.867561545108181065e+01 1.027402554822784282e+02 9.106443033368613271e+01 9.771934944703582460e+01
9.103018460838808323e+01 1.128748595475887555e+02 8.993632513356564573e+01 9.536557420251860151e+01 9.410778472919882631e+01 9.226965814059659010e+01
1.065154961900357051e+02 8.853238054037167615e+01 9.234754192804588513e+01 9.048488878397998292e+01 1.010703326159392788e+02 9.506990566279685595e+01
