word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	
8.609529652820162582e+00 8.345407741683354530e+00 4.536369370291332359e+00 7.776152442863384806e+00 9.620411601968216431e+00 8.815589771618492776e+00
7.931375213877283059e+00 5.838061093503799981e+00 4.875662388760151345e+00 8.309271660168361606e+00 7.577536775459924989e+00 5.093102369298048160e+00
6.054791787162185912e+00 6.424189014283843591e+00 5.980256819429651038e+00 9.555766075810977256e+00 8.458602732665534418e+00 4.375173122775861678e+00
7.084556172508903238e+00 8.564756572080518993e+00 6.001446313910379970e+00 9.767693956823492840e+00 8.390897235560103695e+00 4.574550426424685234e+00
8.285617414585166429e+00 8.327526950354837254e+00 9.875888961789915044e+00 9.865861614875889529e+00 8.362823398318397494e+00 9.150788027681000969e+00
8.960313303105195359e+00 6.743382778575488068e+00 7.853402882232749960e+00 9.304256873885496049e+00 9.987922587883888426e+00 9.763752077717953171e+00
8.224444902352303188e+00 7.330282899479584557e+00 5.451426370476610828e+00 8.742708616284614820e+00 9.996291468158826632e+00 9.694168805518478038e+00
8.572541706584646093e+00 5.930094393594670166e+00 8.084747887382807363e+00 8.273110479406815543e+00 8.306625139582090256e+00 9.627162884213223748e+00
8.349279467299799862e+00 4.933053419477748669e+00 9.364590533012187024e+00 9.233720273010584734e+00 8.185870731733706052e+00 7.604270718033373733e+00
7.698362938966630153e+00 6.046509868582325531e+00 8.994495694802267849e+00 9.808293431741153867e+00 9.103994059882962731e+00 7.954010803095726168e+00
7.849639105750330970e+00 8.212454174280107821e+00 8.880843200821937344e+00 9.806406881613987991e+00 9.683500991781450296e+00 9.510731360003159551e+00
8.987944547618779367e+00 7.211358226845172581e+00 7.943577414355454280e+00 9.802073814091539106e+00 9.881307925784653889e+00 9.943889089871097653e+00
8.602414129748353844e+00 5.646991958751789831e+00 8.873118909682137456e+00 8.585499041927432629e+00 5.953039287105558408e+00 7.585526668126660432e+00
8.334052745801953321e+00 4.552056310598739941e+00 7.152260156039617733e+00 7.586195828168638577e+00 9.893709698854685541e+00 6.445677676931072853e+00
9.227541547207007255e+00 7.414010730497306412e+00 8.130615807666753625e+00 6.478448222027910042e+00 9.528852097591144599e+00 9.578905628630318247e+00
