influence.1.1		influence.1.2		influence.1.3		influence.1.4		influence.1.5		influence.1.6		influence.1.7		influence.2.1		influence.2.2		influence.2.3		influence.2.4		influence.2.5		influence.2.6		influence.2.7		influence.3.1		influence.3.2		influence.3.3		influence.3.4		influence.3.5		influence.3.6		influence.3.7		influence.4.1		influence.4.2		influence.4.3		influence.4.4		influence.4.5		influence.4.6		influence.4.7		influence.5.1		influence.5.2		influence.5.3		influence.5.4		influence.5.5		influence.5.6		influence.5.7		influence.6.1		influence.6.2		influence.6.3		influence.6.4		influence.6.5		influence.6.6		influence.6.7		influence.7.1		influence.7.2		influence.7.3		influence.7.4		influence.7.5		influence.7.6		influence.7.7		
0.000000000000000000e+00 1.802279152615759170e-03 6.477012051853521898e-11 4.160707453295673849e-12 1.155742950165913774e+00 3.079826254769050734e-06 8.098404975446733822e-03 2.061544688852556113e-07 0.000000000000000000e+00 8.896883209306329476e+00 4.677770275078836811e-03 1.371665279996125305e-08 1.732862132639680780e-02 7.758365674899608400e-07 3.539976426258539810e-01 1.124146502882042847e-01 0.000000000000000000e+00 7.971606487992120458e-04 1.396977455812106195e+00 5.220410398222491644e+00 5.463374781943437508e-01 2.041518958282540971e-03 4.299910237656586531e+00 6.413435568783530272e+00 0.000000000000000000e+00 3.320291559947863638e-03 2.480526218670190927e-06 1.727530287642974126e-04 1.944448408415698770e-01 8.132106297690008256e-01 1.853830911942730087e-13 3.617001027311423419e-03 0.000000000000000000e+00 4.971130885778218128e-02 5.595110167555317496e-06 8.626828623251839190e+00 4.288498953222080190e-01 1.264429657327532978e-14 2.321360437316771219e-01 1.329589184118994756e-18 0.000000000000000000e+00 8.898548510309021560e-07 2.280382507974421991e+00 3.892426230776792617e-01 4.540907386631290628e-03 1.132170659628230602e+00 4.641092159492731239e-01 2.950500086024448354e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.337239339343690804e-03 2.468960536961826665e-10 2.530992298532412782e-12 1.491747389717014427e-01 1.193457733199289921e-08 4.300179193383633219e-03 1.560289821879324586e-07 0.000000000000000000e+00 7.420836337779983971e+00 4.373245800199696866e-03 1.707062555580430324e-08 7.136765253397598929e-01 3.868621662805296294e-08 4.804884880609201048e+00 2.331638113401777734e-01 0.000000000000000000e+00 1.755543532160895083e-05 1.527578941571666071e+00 3.034313207512474353e+00 1.470286956717139715e+00 1.026002709087488576e-04 2.109185877771499129e+00 8.625180798143428973e+00 0.000000000000000000e+00 5.363082150774957542e-03 2.926740032977237394e-06 4.842458129935165389e-05 1.289669795021824994e-01 1.894210415703151407e-02 2.623047916506141853e-13 4.127505740535218279e-03 0.000000000000000000e+00 4.143604219016547990e-02 5.925922456134471162e-06 3.528588191936897545e+00 7.780013446446987224e-01 1.382024811322172612e-14 5.350123172923877402e-01 3.691939105483312480e-19 0.000000000000000000e+00 1.152374279801720231e-06 1.582977964264939974e+00 3.227076565632503447e-01 4.803774808276749589e-03 2.772048462327320051e-01 1.973525659322135709e-02 2.193733870668811203e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.926733300903752808e-03 9.144212870782779179e-10 1.063246215943126146e-12 4.465455543039185127e-01 1.673983447697354072e-09 9.940637662680762258e-04 8.195725751762365036e-09 0.000000000000000000e+00 5.410298743657943277e+00 4.392260668861781137e-05 1.497160777531575663e-08 5.337133085418936940e-01 2.880501377226810817e-08 3.986140077717516217e+00 3.482011350035313924e-01 0.000000000000000000e+00 6.405755396171498466e-08 1.723840874959203795e-01 1.582354197163371445e-01 1.971318901849595379e-02 3.348668694954885696e-03 1.566423046804522379e+00 8.949038667617180920e+00 0.000000000000000000e+00 1.713545020710042360e-02 2.113037684592601445e-06 8.631887706779772153e-06 1.739462195801274313e-01 1.460595506750067378e-02 2.106929387883819720e-12 6.628123848597276303e-03 0.000000000000000000e+00 1.407206715457750765e-02 5.157848801955877823e-06 1.265610835307026671e-01 3.849413679493544294e+00 1.157791526980038611e-14 1.135153579011713099e+00 3.959403459731540380e-19 0.000000000000000000e+00 6.438593453401740458e-07 1.098892095931899959e+00 2.227836359381556164e-01 7.321207093507569458e-03 3.102873787148826779e+00 5.060239736730629684e-02 4.584697878280021288e-01 0.000000000000000000e+00
0.000000000000000000e+00 5.024813669108958714e-03 1.199066098630301272e-09 3.890447715262517800e-14 2.115423926110384656e+00 1.681726687603539357e-09 1.209812660037558026e-03 1.682011772596833993e-08 0.000000000000000000e+00 2.626530315760209344e+00 9.462946833037608532e-05 1.771974519618628778e-08 6.100642847066870544e-01 1.822731020475434099e-08 2.470829906144252242e+00 1.358925254654983102e-02 0.000000000000000000e+00 6.409381371634375870e-07 7.151621705591335587e-01 1.791373650270994822e-01 3.725652325290413486e-02 1.215317116530292320e-02 1.442415708362824844e+00 8.046802234200413295e+00 0.000000000000000000e+00 1.394506377669060999e-02 8.282966297484995364e-07 1.055896482545356139e-05 1.522048494933643248e-01 1.164423507806966809e-02 8.948903713891838503e-12 1.110597860898070444e-01 0.000000000000000000e+00 5.065420479632555539e-02 1.412687089514647507e-05 9.028074254981714730e-02 3.523164225053025511e+00 1.125989022482308768e-14 1.540159504995533446e+00 4.901101703158235603e-19 0.000000000000000000e+00 9.255124656724896344e-08 9.828662424169132272e-02 5.367006633112568759e-01 7.806779957632328272e-03 1.261013060079799963e+00 2.072270188888829245e-02 8.141064374422121164e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.334915286566755021e-03 9.806780863495054837e-10 2.666373522379545126e-13 1.986788089640323385e+00 8.465565881907523375e-10 4.570365642713818816e-02 3.094595572594001880e-08 0.000000000000000000e+00 6.634973770287731831e+00 2.751689023199198665e-08 1.647880001294484451e-08 4.380448100557276514e-01 2.829342376110836318e-08 1.735304184973905706e+00 9.945706828942151370e-03 0.000000000000000000e+00 4.388116733018462561e-07 1.068232751218612719e+00 1.822697643268958445e-01 9.287944620959527955e-03 1.004448173239602150e-02 1.065113300026546660e-02 4.525043870692321057e+00 0.000000000000000000e+00 9.524684806808085893e-03 1.557281082430039059e-05 1.657123976755819068e-06 1.739354959956525559e-01 8.244239127511622132e-04 1.411392194166199279e-11 2.046889033600014351e-03 0.000000000000000000e+00 1.050919384476684676e-01 2.188000072233591846e-05 1.160631364150263023e-01 2.747835119616651056e+00 1.306652322757303353e-12 8.490834601316347152e-01 6.180976837044715215e-19 0.000000000000000000e+00 5.593185743919937955e-08 2.447869761091215624e-01 3.364149361223796042e+00 4.281289205137536920e-03 2.334929999467291739e-01 4.403197590835131181e-02 6.545996876408041176e-01 0.000000000000000000e+00
0.000000000000000000e+00 5.449907793707040125e-04 8.299145481972470026e-10 1.543056823071282722e-13 3.299334039258424944e+00 2.322230946135474575e-10 1.595816934815574850e-01 1.565837970863569140e-07 0.000000000000000000e+00 8.286044196639924309e+00 5.696422269728905411e-08 9.976749897855427012e-09 2.574876937409426580e-01 8.398593540604661520e-08 9.953221757347860965e-01 2.684901139751186272e-01 0.000000000000000000e+00 2.904972803860957695e-07 1.489356014754182000e+00 4.089262384417782226e-01 6.506232771478786918e-03 1.191073774890907475e-02 4.005437083320247116e-03 2.360226568869582042e+00 0.000000000000000000e+00 2.634438078459183392e-03 1.781311546760691526e-05 4.066002835184727642e-06 2.861756013473587545e-01 1.092599067240774451e-03 1.175557924054869314e-12 1.899493219828121996e-03 0.000000000000000000e+00 2.317522795814323799e-01 3.073526538625778845e-06 8.315213514218477986e-02 6.501657127984061812e-01 3.522546366530286165e-12 7.350210552821021537e-01 3.712193504921499300e-18 0.000000000000000000e+00 5.570255172522784097e-08 3.280989840324406714e-02 7.012044417390973727e+00 1.556874396943489468e-02 2.689493480752177312e+00 4.174750390182425108e-01 2.212069751813210972e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.566292268633143473e-04 5.030473948184210258e-09 1.205656741642489477e-12 4.387463007442509166e+00 2.145959602269559825e-10 3.165016089965730917e+00 1.238219225413177100e-08 0.000000000000000000e+00 4.054845381353366918e-01 3.879489235176634716e-08 1.102266502997651214e-08 4.910100695980359475e-01 2.759715631978233876e-07 7.581724149845990857e-01 6.811977189789114595e-02 0.000000000000000000e+00 3.692822554062459048e-07 3.507378688087556817e+00 8.325174674493947435e+00 1.041796994543857900e-02 8.967109279052603091e-03 9.956065818097119616e-03 4.492165709200063972e+00 0.000000000000000000e+00 2.892956247111264437e-02 3.055973761856382040e-05 5.358909746189508421e-06 3.050487503678915302e-01 7.858228686924021225e-04 1.099173623652546171e-11 1.048617864555385568e-03 0.000000000000000000e+00 1.544985244224099108e-01 1.152123246255541785e-06 7.621493796879043325e-02 4.040793202370788761e-01 3.716078823778535027e-13 4.742157998688911746e+00 8.460846676856994419e-18 0.000000000000000000e+00 5.647248761220609645e-08 1.092697504386877516e-02 4.788854153953152171e+00 1.130804940434176065e-01 8.966173128417332938e-01 3.039981866429888768e+00 3.240234086178961359e-01 0.000000000000000000e+00
0.000000000000000000e+00 6.205732093236981549e-04 4.970727990235333503e-09 3.195768055947467488e-13 4.003983797374561782e+00 3.059380483015793398e-10 2.328484307291497579e+00 1.163972504648109546e-08 0.000000000000000000e+00 3.027096808647004589e-01 2.859380208753512859e-08 2.649432647735012431e-09 7.751347946828608393e-01 1.598504148379644441e-06 3.928751266971421963e-01 1.159612370520139296e-01 0.000000000000000000e+00 2.402412126179225077e-08 5.426892354812755670e+00 8.223115787285784961e+00 1.402967864460889259e-02 3.144205863210417385e-03 1.414224613653529243e-02 5.795245392477611723e+00 0.000000000000000000e+00 3.624705167915997367e-02 4.213334782532873139e-05 4.743708075712170654e-06 6.523153424700277592e-01 1.112998344705984078e-04 1.472514383186054329e-11 1.282239109332292300e-02 0.000000000000000000e+00 6.901545132421496032e-01 1.880519092741089291e-06 3.948066363442032101e-02 3.281439782197568822e-01 1.660239444150488181e-12 7.469026078776844102e+00 7.350944368731891149e-18 0.000000000000000000e+00 5.846604493548348565e-08 1.285357071845981934e-02 4.460829432300024600e+00 1.190711870881600298e-01 2.102660706288665526e+00 1.430630758146661519e+00 2.247772078035313870e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.051811565786171776e-04 7.952560289871341090e-09 3.712453513267656937e-13 1.533992975537383119e+00 4.821182907112673732e-11 2.837878053066175355e+00 3.927696314519586132e-09 0.000000000000000000e+00 2.114009079965909962e-02 2.044758312609305440e-07 2.501769102425334768e-09 1.253902753551128901e+00 4.635027660660042432e-06 1.957514330077530507e-01 1.467531052100758959e-01 0.000000000000000000e+00 8.362854703862401267e-08 4.526146805551013230e+00 3.945383031465233614e+00 1.431773810788252409e-02 1.402136876006796450e-02 3.129482322943129280e-02 1.566652703748379061e+00 0.000000000000000000e+00 2.080567601952450774e-01 3.738175719438659818e-05 3.671588935064716618e-06 3.334744588511504571e-01 3.349548536692607066e-05 7.530192172708151406e-12 5.710941740017764926e-04 0.000000000000000000e+00 1.009089737140334009e+00 1.128762414850893008e-06 5.065395959311641549e-02 5.727598314581014982e-01 5.126537668134698770e-14 6.431482387034968440e+00 1.032598451341632636e-17 0.000000000000000000e+00 5.165408498921012818e-08 2.297574297863650208e-02 1.402317566610671529e+00 3.984735417340111163e-01 7.631729639629748263e+00 9.252892978309790184e-01 2.197934784052739121e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.101409898114521655e-04 1.851700939316865835e-09 1.834596810728252239e-13 3.111387261118644609e+00 7.285253833966572680e-13 5.593396099546307232e-01 2.840282343086840887e-09 0.000000000000000000e+00 1.167323427254027407e-01 1.044008597052575582e-06 3.003925814165601468e-09 1.030484374153359139e+00 5.299448726470209556e-06 2.968836849247444287e-01 2.462656753490433392e-01 0.000000000000000000e+00 8.555005589269286319e-08 6.613788234560501245e+00 2.058117893765225581e+00 1.315010589544462517e-02 2.919831665531109899e-02 3.209070230412697233e-02 1.497969566815355202e+00 0.000000000000000000e+00 1.699409507604529579e-01 1.171656174354512712e-05 6.980355377315703927e-06 2.369683911726218062e-01 5.738576774719286722e-05 1.267913882751302131e-11 2.265350345240592367e-03 0.000000000000000000e+00 1.099133063181058079e+00 2.028720564812602545e-07 4.751493616991685903e-02 4.181580908875746072e-01 5.505683257803013106e-13 6.528551962987521939e+00 2.670559850304006021e-18 0.000000000000000000e+00 8.736895053690208765e-08 5.185954884473544663e-02 1.543404008044690245e+00 3.051571955551681259e-01 8.806066289913463407e+00 9.096374929088616668e+00 5.635189888759356558e-01 0.000000000000000000e+00
