log.prior	log.likelihood	log.likelihood.test.set
-1.500368310891539977e+03 -7.088677000488502244e+02 -4.201443230927208106e+01
-1.478800860298787939e+03 -7.113972331787407484e+02 -4.088023832247810674e+01
-1.459492215612543987e+03 -7.109306085317311954e+02 -4.087360331939791536e+01
-1.475391902031940617e+03 -7.119672074118662977e+02 -4.126212852742983728e+01
-1.455946191080754033e+03 -7.119141471267014367e+02 -4.258768988236482755e+01
-1.468312829702682848e+03 -7.107446353398379415e+02 -4.255364951903456472e+01
-1.485988868192762538e+03 -7.074577495044426314e+02 -4.016060703754033057e+01
-1.476446428338966143e+03 -7.077475308361042607e+02 -4.012188008872948330e+01
-1.474072775436758320e+03 -7.073814571318151820e+02 -4.061461728686740003e+01
-1.468109386459117559e+03 -7.046959932046079302e+02 -4.133169238554813774e+01
-1.468370997814210796e+03 -7.106545897367903990e+02 -4.110275671490504124e+01
-1.454343763098231875e+03 -7.096677869220628736e+02 -4.137097486103729693e+01
-1.466293211215332576e+03 -7.122060056548998546e+02 -4.160928488089419375e+01
-1.467975655393013767e+03 -7.137016292295563744e+02 -4.205319525716578255e+01
-1.451637905714299905e+03 -7.144724702923920177e+02 -4.167400479256238555e+01
-1.437964363769219290e+03 -7.124930150140207843e+02 -4.010499692573517905e+01
-1.457953852228388541e+03 -7.094073954750951998e+02 -3.976044480089930744e+01
-1.454346691053077393e+03 -7.087071667628155183e+02 -3.940479643565774381e+01
-1.449743043765904531e+03 -7.085429265474447220e+02 -3.993304671936388672e+01
-1.444240927937460810e+03 -7.128507462642409109e+02 -4.063210809042254823e+01
-1.431565530005432947e+03 -7.097627403058313575e+02 -4.069624518105419497e+01
-1.413424771816849443e+03 -7.070300083334255987e+02 -4.142055470180108045e+01
-1.438597635776483003e+03 -7.048064604790890826e+02 -4.158058796077250463e+01
-1.454547881578668012e+03 -7.013233911745303431e+02 -4.143491565877596372e+01
-1.433696515710820222e+03 -7.029796944597912898e+02 -4.093322246419501198e+01
-1.446337748268381802e+03 -7.008038971070393472e+02 -4.016725104730230100e+01
-1.432995735981648522e+03 -7.006519369520416376e+02 -4.007852708414384324e+01
-1.426744116413708070e+03 -7.036766462037065821e+02 -4.003351361448463308e+01
-1.436000585697038787e+03 -7.038418345380788423e+02 -4.143834246962617840e+01
-1.429759581998020394e+03 -7.052176153326518033e+02 -4.115876146053463458e+01
-1.420912268713071853e+03 -7.049976577402601379e+02 -4.089125427552551173e+01
-1.413872378620553491e+03 -7.080063707296553730e+02 -4.096808822356845781e+01
-1.414947397501422074e+03 -7.069510786992939302e+02 -4.099816225437936623e+01
-1.412867336411494534e+03 -7.070325212712514258e+02 -4.223631264438020594e+01
-1.435008955475656421e+03 -7.072117256223491495e+02 -4.277007427770604409e+01
-1.425505058080271056e+03 -7.050190679090715093e+02 -4.252937740054295546e+01
