time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	time.decay.7	
9.695092174626218195e+01 1.060372584763257748e+02 9.259161233167519356e+01 9.880277432607834953e+01 9.974082997267142048e+01 1.221533747811501058e+02 1.010461500219898880e+02
9.815705339187380218e+01 1.111552657147720140e+02 9.935221454708536726e+01 7.953032793962900371e+01 1.050490256744165833e+02 1.156364476723325367e+02 1.033374510250389449e+02
9.362088173823758552e+01 1.051832954731630423e+02 9.248629642481988355e+01 8.742095596433014748e+01 8.573633567399369326e+01 1.282994334194420958e+02 9.519866246841584712e+01
8.932160446990189939e+01 1.016269373258102462e+02 1.161837415902570569e+02 9.184318380420270955e+01 1.080556400386048210e+02 1.227268495786842522e+02 1.002556818575674953e+02
8.760198585431975005e+01 9.079535235660162584e+01 1.159855635105290332e+02 9.982157864896282717e+01 1.086166278303967943e+02 1.131573425439852656e+02 1.063458308282647806e+02
9.448370468696353441e+01 8.914262215721490179e+01 1.096522725872120247e+02 1.087681672987592094e+02 1.186179942712595050e+02 1.091329053872287886e+02 8.863875673476854899e+01
1.045904729611071389e+02 9.249475575910705061e+01 1.007255182542033367e+02 1.114877153598823440e+02 1.200544907908752776e+02 8.413591426872012846e+01 9.130274721279931782e+01
9.389662168075304294e+01 1.145505638026444899e+02 1.057958434076093113e+02 7.557304249290552889e+01 1.182948458692993938e+02 1.028095235969446151e+02 9.555482666586439677e+01
9.823136291238267859e+01 1.269998734892718630e+02 1.061730113543243021e+02 7.539197471002138684e+01 1.107627763813974298e+02 8.911752277192961458e+01 9.543578860518623230e+01
9.214495975046077092e+01 1.178795244964288997e+02 1.006882327395868657e+02 1.096852866415738958e+02 9.552006934610022881e+01 9.005648468897828707e+01 8.806320859845745019e+01
8.688375236012652181e+01 1.171008546231053913e+02 1.006933787862854501e+02 1.079229665139651786e+02 1.067787400883828042e+02 9.704061482522021720e+01 9.568322437781360179e+01
7.526386603567303268e+01 1.103422881334310262e+02 9.357728892857973335e+01 1.042876467067858073e+02 1.087765989493249066e+02 8.912003486110342010e+01 9.069408627823219149e+01
1.004358349548265039e+02 1.159344223511111238e+02 1.012424487000240561e+02 1.194517970370279443e+02 9.711909868366097953e+01 8.601750789796228958e+01 8.588659994694678801e+01
1.044421301699169931e+02 1.285481642383905694e+02 1.059534212809661256e+02 1.123635026931074208e+02 8.613415194452882417e+01 1.039765498901571590e+02 1.152491758974122433e+02
9.399602285492829878e+01 1.159325148615400423e+02 1.133721084761892541e+02 1.137952850421103790e+02 9.953846399494909747e+01 9.438024112861864978e+01 1.119026528380598506e+02
9.242406884576537607e+01 1.179616757693940485e+02 1.109642054495057408e+02 9.561210227003255113e+01 1.083291737602498017e+02 9.944180719794631784e+01 8.898646873444930350e+01
1.095631178562994137e+02 9.907070039011892959e+01 1.150588625119174822e+02 9.836448868750196084e+01 9.895610545003540892e+01 1.131486734830311320e+02 8.769681010420174516e+01
1.098567515244426716e+02 9.423743246980299659e+01 7.667367104487502161e+01 1.009238799082277893e+02 9.845642882992589762e+01 1.118694733603215923e+02 9.115671200133472496e+01
1.119652998102931321e+02 9.670214526516531350e+01 9.540053972919821490e+01 1.014103367957607418e+02 1.023621603425370381e+02 1.122004348462746606e+02 9.888638776263030650e+01
8.906151443377984833e+01 1.028670409172019049e+02 1.179826062267367206e+02 1.213144194871036063e+02 8.978400935298910213e+01 1.038954908229113414e+02 1.037300818992048903e+02
1.118253407128458434e+02 1.030278430793253506e+02 1.041829435991534183e+02 1.205323916417468695e+02 8.952197789972603914e+01 1.036883834128167905e+02 1.036267092798324825e+02
1.097219709097462896e+02 9.313261172038346558e+01 1.041249874815265031e+02 1.148007692757458784e+02 9.082321562182426078e+01 9.941461940159098276e+01 9.663625678434837596e+01
8.744754864307803643e+01 8.657176739166312984e+01 9.947202455954973743e+01 9.372685192958385869e+01 9.473956958247148918e+01 1.093379315407430283e+02 1.010641330057014784e+02
1.048995296233273109e+02 9.394613839779506748e+01 1.171793534294667580e+02 9.215323804818625320e+01 9.349313489584119452e+01 1.097207517925140365e+02 1.175239844804461313e+02
1.035395311050105533e+02 1.042970886516515066e+02 1.009834953161338831e+02 8.511095082297970293e+01 9.643745637713215046e+01 8.222222621817255117e+01 1.081929001042143739e+02
9.625320206286328073e+01 9.691674116142446849e+01 1.040501959890876975e+02 9.934358167904318293e+01 9.496928802666967329e+01 1.178180169559452821e+02 1.108177891338328180e+02
9.015822298553098335e+01 8.968419844183588907e+01 9.923040683256739669e+01 1.028020817208104916e+02 8.884748149673291095e+01 1.009685866238557992e+02 9.390357577090183838e+01
1.210468791326904920e+02 1.025956961168546826e+02 9.533619249346442359e+01 9.730011879724771973e+01 8.066500382203614095e+01 1.017222192359741513e+02 9.350001117450993604e+01
1.058443203647307485e+02 1.101067217958121915e+02 1.007980768888674845e+02 9.145789462107985912e+01 9.907771447198508952e+01 1.025189053525176917e+02 1.044055974717801689e+02
1.042357717624299482e+02 1.065633770429843707e+02 1.007183832485365116e+02 9.253832254900143539e+01 1.013104969462064844e+02 8.323474894877219299e+01 8.425171611679216710e+01
9.904238491126376687e+01 9.557159822077561273e+01 1.030234309054885955e+02 1.013044006113783411e+02 1.024706173741924147e+02 8.100765976843229055e+01 8.680427587045376470e+01
1.028395156877145808e+02 1.011729386971699824e+02 1.047069713298882192e+02 9.663352702674153250e+01 9.197519584416416194e+01 7.772628621391497461e+01 1.068051726855889285e+02
1.056288294880132952e+02 1.051463919815877688e+02 1.112433149799221894e+02 9.928902547603725282e+01 1.157134738083149443e+02 9.101432354348337128e+01 1.208445408954142124e+02
1.057531047536514279e+02 9.280060765635396081e+01 1.039797277722398547e+02 9.589009365543608965e+01 8.523970048968577373e+01 1.012704599587627143e+02 9.940743486868575474e+01
1.020355233719841692e+02 1.155588931077592036e+02 9.836880654827002957e+01 9.442017568654867432e+01 1.145468643608761710e+02 1.090256978056776376e+02 1.032873163339380085e+02
9.446284026517389520e+01 8.485632151778867183e+01 9.898594971443262125e+01 1.018755706170851880e+02 9.511729762493693840e+01 9.835211683292435225e+01 9.250776604114389556e+01
1.142713943386278999e+02 9.357187836587719687e+01 9.782461251734150665e+01 1.045529761399419613e+02 1.245101961989337553e+02 9.883012816117417287e+01 9.369773771303333376e+01
8.416388631383114216e+01 1.097275830427285825e+02 9.305605143870664619e+01 9.778246567446259974e+01 1.284883752050934902e+02 1.058464029572046741e+02 1.042666200538753287e+02
8.863434619357181532e+01 9.879137180366655002e+01 1.029773962379097583e+02 9.147697558204919233e+01 1.188246085127990739e+02 1.055137916435881351e+02 1.151869987422968791e+02
8.885594213603761204e+01 1.087353137578713529e+02 1.016852685182858522e+02 8.997348121506341556e+01 1.156413593332673599e+02 1.147365819340593589e+02 1.076367065839531278e+02
9.572628492229600283e+01 1.128984262680888548e+02 1.035516086814732404e+02 1.154508031899508183e+02 1.002523654087436284e+02 8.945146528720171375e+01 9.020361031727253476e+01
9.805109431731364111e+01 1.129485873042958133e+02 1.070221776679160541e+02 9.485064538894737041e+01 1.024059143953740403e+02 1.023170514111573084e+02 9.621665942465538990e+01
1.042024168751441096e+02 9.586167146324817168e+01 8.552088718768857234e+01 1.108378336845979959e+02 1.108496058609413808e+02 8.954166599657399672e+01 1.051642636032949412e+02
9.149215373971627230e+01 1.021925099553274237e+02 9.253883302679633971e+01 9.841291978197529033e+01 1.116240839699836727e+02 9.838881001697598094e+01 9.928635647155864774e+01
8.970497027823525116e+01 1.057917427434869069e+02 8.949455454513665131e+01 9.114916413997453049e+01 9.557045809178077889e+01 9.308536013222959582e+01 1.026443695376319454e+02
1.046946111277395488e+02 1.098622655744885606e+02 9.948831326205501568e+01 1.093932809977519298e+02 9.567323803732722354e+01 9.832141649789002713e+01 1.022280787513341238e+02
9.378079234701567657e+01 1.267959027793887117e+02 9.958064060827774711e+01 1.170469589767314744e+02 1.046210783207039583e+02 8.969126245626908656e+01 1.112896978016585336e+02
1.081161681804497618e+02 1.254538426948371637e+02 9.157540896533006958e+01 9.306452742472177420e+01 8.366254465801722517e+01 8.707359908364888668e+01 1.069684585099739422e+02
1.115252559412201805e+02 1.207135658944154102e+02 8.064310098433401208e+01 9.761814726673922848e+01 1.088946741163438503e+02 9.533010513854151213e+01 9.129943998888541046e+01
8.724873637440867924e+01 1.201368897115129073e+02 8.462653761524148877e+01 9.512867732243394414e+01 1.036048416756697748e+02 1.054926407616544282e+02 9.722557807265413032e+01
7.866239696021322914e+01 1.208993991739006475e+02 1.103600690652782674e+02 8.866562693997829570e+01 9.074510037277667607e+01 8.740029553785146277e+01 1.001884248819221739e+02
8.159952907762601626e+01 1.178538714218325936e+02 9.259722231161781281e+01 1.135017767562633253e+02 1.172107272362540016e+02 8.693970985215536018e+01 1.149788642263729201e+02
9.048721907074551041e+01 9.175219730442464083e+01 9.935570020839797678e+01 9.126460496453674409e+01 1.067837288157526814e+02 9.595522462461318014e+01 1.169965460987336030e+02
8.990891905205819512e+01 1.230639513040111410e+02 9.801080053394204583e+01 1.020830762355977157e+02 8.628163244794767195e+01 1.053302832024568829e+02 9.316987349887949676e+01
9.171515672189971724e+01 1.154321009340799549e+02 8.855507743620005101e+01 1.175381900688177694e+02 8.782039491143900989e+01 9.259428188931714487e+01 9.148456978749727853e+01
9.095553181984385560e+01 1.031874335575904666e+02 9.491742199902255095e+01 1.098616302840145238e+02 1.057127898217279380e+02 9.798611359226887885e+01 9.908147881389501777e+01
1.163303427487851565e+02 9.298584310939840236e+01 9.116368514355798425e+01 1.080795325239857050e+02 9.405119630107263617e+01 9.971114517998233850e+01 1.109250849572993047e+02
9.864013186106572562e+01 9.200295273446772626e+01 9.112517353072747994e+01 1.083378137129732295e+02 1.015086242261691041e+02 1.037424912681807712e+02 1.131715998189714014e+02
9.965572301523967269e+01 9.417399662193716381e+01 8.650158151605623402e+01 1.011883599328617578e+02 9.744994479203919013e+01 8.624275883429885425e+01 1.089972338676056438e+02
8.344185953095558261e+01 1.015660761325460157e+02 1.075663129476298536e+02 9.170689358469637398e+01 8.619670990593405691e+01 8.260459353591895137e+01 8.640732492799816100e+01
1.182894141709118259e+02 1.051590411121675430e+02 9.713202514857853487e+01 9.801114758151666706e+01 1.143917948323565668e+02 1.116991575862340227e+02 9.566470459376634494e+01
1.153350294036959269e+02 1.013419997750011277e+02 9.930545711660826669e+01 8.331900811816969110e+01 1.200532816914245444e+02 1.065962865766097849e+02 1.058613615356002100e+02
9.171488456832732084e+01 9.890267836439507221e+01 9.597056090409077456e+01 9.631606255591194099e+01 1.159749901203489060e+02 8.750725948403093923e+01 1.108172978465542116e+02
9.902513029240427045e+01 1.098297426390126645e+02 8.352204321550162547e+01 1.073413125863754942e+02 1.147647200273775212e+02 1.031945171294309631e+02 1.106740920327111724e+02
1.040901158675043803e+02 8.685595712732987295e+01 9.462954892144895780e+01 1.084118836521568312e+02 1.244398476163405292e+02 9.938128342413186544e+01 8.847339698725184576e+01
9.152429832646605234e+01 9.335045037062279505e+01 1.053751922604637343e+02 1.084767514280982255e+02 1.110108762452948099e+02 9.212457684085430287e+01 1.080213501313219098e+02
8.891775938421311309e+01 1.059672074393349135e+02 1.011569874451707847e+02 1.172678729939229072e+02 1.222067445007628237e+02 9.768952963039188830e+01 9.047553796217067656e+01
9.313077508119590675e+01 9.915789621755484973e+01 1.029986644787888110e+02 9.207250075755132457e+01 8.054346078706663548e+01 1.060235792728154536e+02 1.018620214797815748e+02
9.703221226531562138e+01 9.428231532097160539e+01 1.214477038985405102e+02 1.071126190409299568e+02 1.191700957423319949e+02 1.091096454880451176e+02 9.148712800793398969e+01
1.006183493877391300e+02 9.798891999639064920e+01 1.174629772961586411e+02 1.072884265559655859e+02 1.164103588438948407e+02 9.386133959761721712e+01 1.068467138900493438e+02
9.123744874290079565e+01 1.003732245807769488e+02 1.093602287192330209e+02 9.111075719378077054e+01 1.079132159216679128e+02 1.044204985456621415e+02 9.953351067038352085e+01
9.152426127916642429e+01 1.048425390540449342e+02 9.350525222569142159e+01 9.425093586700995729e+01 9.102662103323885390e+01 1.063321357884078111e+02 9.601341641187028131e+01
9.549139995621531796e+01 9.873481784786052629e+01 1.085515303194385126e+02 8.635008613705855396e+01 9.506963016126087496e+01 9.270370786917591488e+01 7.512353470774945663e+01
9.043453548485612714e+01 9.680304538769885880e+01 1.120936604594305805e+02 1.014969870878956044e+02 9.471493999667590913e+01 9.107420661033280851e+01 1.034276237032748611e+02
1.087623916993976252e+02 9.609254967307595052e+01 1.083418020382470530e+02 9.455912986645274998e+01 1.107416342044078590e+02 9.004833097892075955e+01 1.056734093997818036e+02
1.042932683219729313e+02 1.057228995428269087e+02 8.633165672910141097e+01 9.327618089893478270e+01 1.090306031594275424e+02 9.302351235152329423e+01 1.029858391631638881e+02
1.055159652688084577e+02 8.352527324085440341e+01 1.000296200299266616e+02 8.693267591947443407e+01 9.006212574837650209e+01 1.127105498703018327e+02 7.680165176776813496e+01
1.005775208075467049e+02 8.351959123270029295e+01 9.445668188586863323e+01 9.282870986400266133e+01 9.531349469827883070e+01 7.895724895841368607e+01 7.775842202763763567e+01
9.929794063271212679e+01 8.521982801279750674e+01 9.092897329761748892e+01 1.176281058803957791e+02 1.076859614678227217e+02 1.062568662314954224e+02 7.745906748883874116e+01
1.053610378771430334e+02 1.119598586804744400e+02 1.006154228799698558e+02 1.003539752537437408e+02 9.812609311024456815e+01 1.093530706750071033e+02 7.355341745224518490e+01
9.291924230659515160e+01 1.126328026624293841e+02 9.316749323926040915e+01 9.155143401811294268e+01 1.047926115760193682e+02 9.909114423097602753e+01 7.344666590669284290e+01
1.095849371369759950e+02 1.166052490272071793e+02 1.069579782775674346e+02 1.076206051235241716e+02 1.017967912022367329e+02 9.827656652974516760e+01 7.444260939501721452e+01
1.059553711881618199e+02 1.153781999165955767e+02 1.010046628695052533e+02 9.515635724140398111e+01 1.022881099156135889e+02 9.504856297875302573e+01 7.524006046970191619e+01
1.175604438694241196e+02 1.062693867907154583e+02 1.027898495719601328e+02 1.073792687695406869e+02 9.723275212481034657e+01 8.809133856682174724e+01 7.583738124907047506e+01
1.003225097165501154e+02 1.063371201527203311e+02 1.002195534207922378e+02 9.853805930380531208e+01 8.833449502409139598e+01 8.341187928995647383e+01 9.124097230083586396e+01
1.129497323204129060e+02 9.172065997308895646e+01 9.746425162631285843e+01 8.976151470949955069e+01 9.372009678885468986e+01 9.109734892188357946e+01 9.670625544344643743e+01
1.161029996618282212e+02 1.044485960884499178e+02 9.942207447805900244e+01 9.229797630134810049e+01 1.111690836646686193e+02 1.068653479394913006e+02 9.276562431454441082e+01
1.001198569404391350e+02 1.203419188083567235e+02 1.048866827394122652e+02 9.983861095013708109e+01 1.097588169692486275e+02 8.968026699837965054e+01 9.997437227741868071e+01
1.038091767532710890e+02 9.952065772918393805e+01 1.022628189685939333e+02 1.017495456803573575e+02 9.495421888259652121e+01 8.591923110301010524e+01 1.071698524757848361e+02
9.808084370022130827e+01 9.806057161548213230e+01 1.016885672407438221e+02 1.018063146344209287e+02 9.870867122899338142e+01 9.829580562437575963e+01 1.005557944766193970e+02
8.699168993945446005e+01 9.731147085340346337e+01 9.875145413456102972e+01 1.017024258623324329e+02 9.301463976681085910e+01 9.487779328370413623e+01 1.132777493915989169e+02
9.509522889181889127e+01 1.020138173162124531e+02 9.421626099154536860e+01 1.062686672579264666e+02 8.060617476450509855e+01 1.000001630233266212e+02 8.562679650288390576e+01
