word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	word.concentration.7	
8.208155861058813230e+00 9.764175170624891820e+00 9.466317610633545598e+00 6.999031691790468024e+00 7.521363210482407524e+00 9.300396982579323790e+00 3.336284976489712228e+00
9.973156924122481115e+00 9.483712780073114246e+00 8.372623786954827452e+00 7.675329084458253348e+00 7.804360452454881525e+00 8.968806029893006126e+00 6.003742847404304861e+00
9.561265998272249433e+00 6.058032375190289365e+00 9.774791288554357749e+00 8.597944383492107434e+00 9.143102015107581693e+00 7.187488724240917115e+00 8.360728299607561809e+00
8.331696914005469523e+00 6.344385424602210222e+00 8.539671957437915850e+00 6.997851993842947316e+00 9.857148053437692070e+00 8.998345086661917236e+00 9.094270016618461128e+00
9.259697742204316739e+00 6.645850059426628320e+00 7.686531116300012734e+00 9.585820728614457664e+00 9.864106572975190446e+00 9.775416099880196441e+00 8.459124131296503535e+00
9.269419235572767590e+00 6.633758576350349934e+00 6.274185153270064319e+00 7.731353087021808790e+00 9.877704228257922381e+00 8.910811413067026621e+00 7.555644650086494885e+00
7.165655894712729790e+00 9.670349092544523018e+00 6.254886674791198864e+00 9.022341665413591727e+00 9.803544644873543490e+00 6.908480883811363604e+00 7.489561423761873726e+00
7.718767303793994117e+00 9.246556179586137958e+00 6.943429902287318711e+00 8.839867007436847501e+00 8.280572735717528943e+00 7.661354982676018999e+00 6.746107511098688114e+00
7.450808877194542212e+00 6.478344974290705771e+00 6.501164112424394403e+00 9.130015967371553742e+00 6.079428486288993128e+00 8.850199054209557659e+00 6.835400553793948397e+00
7.544010563099391220e+00 7.104209922709502578e+00 9.312913111694742341e+00 5.558466978124214641e+00 8.234242855199180866e+00 7.341544450160631285e+00 8.987476390016357897e+00
3.682789985263033472e+00 9.019311706922550798e+00 6.940481837043238400e+00 8.177968233144085275e+00 8.577324529228478767e+00 6.851574904152069934e+00 9.987347541033024356e+00
4.757563554736131906e+00 8.187248913457583654e+00 5.672453812384926408e+00 4.678375183390871328e+00 9.723627642770926727e+00 8.444975238334954781e+00 9.411368362049481462e+00
8.729964467906974335e+00 9.985399136655670915e+00 4.745734346363336797e+00 4.645431807800214585e+00 9.082250513188993679e+00 8.556293189449496239e+00 9.841840413352718642e+00
8.076269915480088102e+00 7.237595800962589365e+00 6.723642356622601568e+00 5.063842503026180886e+00 9.135415889642025888e+00 9.875887819524209021e+00 7.054452107503603742e+00
6.739528731481461143e+00 9.584279863020162438e+00 7.804181238864787318e+00 7.791548392187698902e+00 8.212554890863302148e+00 9.233716404198435868e+00 9.441128767975165204e+00
6.995952085892120031e+00 9.982738274494451503e+00 7.147174569709526359e+00 6.663327067258214775e+00 8.361596714177819578e+00 7.518518517569386717e+00 7.370349827930217756e+00
8.453460828868482935e+00 7.574485917980105398e+00 8.291000356969020046e+00 8.503946836975899259e+00 7.755665654001074216e+00 7.945471891697200917e+00 7.970034746046638752e+00
7.978418551817167526e+00 6.952742074625691160e+00 9.953709362097370672e+00 8.935843255568883592e+00 6.916130419314667321e+00 7.787132294685813250e+00 7.725099433013245864e+00
9.736204363666628225e+00 6.916193869970568286e+00 9.273969589727826701e+00 7.825892367130993676e+00 7.803978091918455817e+00 9.126622672338804421e+00 7.185382910308533155e+00
