word.1	word.2	word.3	word.4	word.5	word.6	word.7	word.8	word.9	word.10	word.11	word.12	word.13	word.14	word.15	word.16	word.17	word.18	word.19	word.20	word.21	word.22	word.23	word.24	word.25	word.26	word.27	word.28	word.29	word.30	word.31	word.32	word.33	word.34	word.35	word.36	word.37	word.38	word.39	word.40	word.41	word.42	word.43	word.44	word.45	word.46	word.47	word.48	word.49	word.50	word.51	word.52	word.53	word.54	word.55	word.56	word.57	word.58	word.59	word.60	word.61	word.62	word.63	word.64	word.65	word.66	word.67	word.68	word.69	word.70	word.71	word.72	word.73	word.74	word.75	word.76	word.77	word.78	word.79	word.80	word.81	word.82	word.83	word.84	word.85	word.86	word.87	word.88	word.89	word.90	
0.0109735 0.0103965 0.0130883 0.0107460 0.0113549 0.0106878 0.0120954 0.0122014 0.0117596 0.0110061 0.0110203 0.0115580 0.0108172 0.0107563 0.0110015 0.0102296 0.0108523 0.0110296 0.0112529 0.0111566 0.0109814 0.0112102 0.0115269 0.0107602 0.0112259 0.0114736 0.0123236 0.0109272 0.0113543 0.0113712 0.0109902 0.0104091 0.0122976 0.0121516 0.0108439 0.0110023 0.0118846 0.0104697 0.0110734 0.0111678 0.0104148 0.0106016 0.0109673 0.0111261 0.0121475 0.0106728 0.0104146 0.0113451 0.0108199 0.0110145 0.0106714 0.0109379 0.0111353 0.0113817 0.0110715 0.0104287 0.0109073 0.0115786 0.0105860 0.0112759 0.0110931 0.0110891 0.0109661 0.0108709 0.0111678 0.0107486 0.0107434 0.0110476 0.0119379 0.0107363 0.0109417 0.0106762 0.0110816 0.0112950 0.0105252 0.0110794 0.0107956 0.0110445 0.0109526 0.0112079 0.0113133 0.0103858 0.0110967 0.0110286 0.0112692 0.0114289 0.0105141 0.0113200 0.0109621 0.0117538
0.0112817 0.0114581 0.0106604 0.0113849 0.0101861 0.0109017 0.0117374 0.0109582 0.0108331 0.0107702 0.0108098 0.0101593 0.0122279 0.0121084 0.0107387 0.0102027 0.0116565 0.0108903 0.0107603 0.0110565 0.0107536 0.0110693 0.0104320 0.0105998 0.0104117 0.0108583 0.0103332 0.0123032 0.0111500 0.0109397 0.0111914 0.0109883 0.0119132 0.0109491 0.0110298 0.0108108 0.0107060 0.0106438 0.0109695 0.0123899 0.0109736 0.0110700 0.0109334 0.0105626 0.0111423 0.0109273 0.0106916 0.0108971 0.0113330 0.0107976 0.0111155 0.0107349 0.0111016 0.0103983 0.0106837 0.0108296 0.0110436 0.0114202 0.0106006 0.0104345 0.0111407 0.0111013 0.0106649 0.0109888 0.0109258 0.0105001 0.0116416 0.0108388 0.0112032 0.0125404 0.0121448 0.0111758 0.0116020 0.0122454 0.0117515 0.0113481 0.0104854 0.0118772 0.0105117 0.0106755 0.0109232 0.0112523 0.0105391 0.0107348 0.0126025 0.0128234 0.0121422 0.0120936 0.0121666 0.0104434
0.0108210 0.0124683 0.0130373 0.0134722 0.0136608 0.0139734 0.0140579 0.0104299 0.0117729 0.0112366 0.0116177 0.0111980 0.0116674 0.0105818 0.0113635 0.0102803 0.0119216 0.0113123 0.0103673 0.0106785 0.0106535 0.0142050 0.0116962 0.0117982 0.0111911 0.0110081 0.0103740 0.0100577 0.0114705 0.0104481 0.0110148 0.0105514 0.0100375 0.0107154 0.0112294 0.0101626 0.0104280 0.0121999 0.0102982 0.0112336 0.0106644 0.0104474 0.0102331 0.0105601 0.0117645 0.0118362 0.0106241 0.0113442 0.0107265 0.0101959 0.0102383 0.0111364 0.0110414 0.0104207 0.0117067 0.0129790 0.0123383 0.0120365 0.0119501 0.0107222 0.0109892 0.0111732 0.0103452 0.0103677 0.0104143 0.0104694 0.0108444 0.0108878 0.0105925 0.0104740 0.0107510 0.0108388 0.0104594 0.0108836 0.0105226 0.0116982 0.0100912 0.0109499 0.0099808 0.0102921 0.0106616 0.0105894 0.0105478 0.0107009 0.0109054 0.0105728 0.0110026 0.0106259 0.0109163 0.0107940
0.0112809 0.0114573 0.0106596 0.0113841 0.0101853 0.0109009 0.0117366 0.0109574 0.0108324 0.0107694 0.0108090 0.0101586 0.0122270 0.0121075 0.0107379 0.0102019 0.0116557 0.0108895 0.0107595 0.0110556 0.0107529 0.0110685 0.0104313 0.0105991 0.0104109 0.0108575 0.0103324 0.0123023 0.0111858 0.0109389 0.0111906 0.0109875 0.0119123 0.0109483 0.0110290 0.0108100 0.0107053 0.0106431 0.0109687 0.0123890 0.0109728 0.0110691 0.0109326 0.0105619 0.0111415 0.0109265 0.0106908 0.0108963 0.0113321 0.0107969 0.0111147 0.0107342 0.0111008 0.0103975 0.0106830 0.0108288 0.0110428 0.0114193 0.0105999 0.0104337 0.0111399 0.0111005 0.0106641 0.0109880 0.0109250 0.0104994 0.0116407 0.0108380 0.0112022 0.0125395 0.0121439 0.0111750 0.0116012 0.0122445 0.0117506 0.0113838 0.0104847 0.0118763 0.0105109 0.0106747 0.0109224 0.0112515 0.0105383 0.0107340 0.0126016 0.0128225 0.0121413 0.0120927 0.0121657 0.0104426
0.0112809 0.0114573 0.0106597 0.0113841 0.0101854 0.0109010 0.0117366 0.0109574 0.0108324 0.0107694 0.0108090 0.0101586 0.0122270 0.0121075 0.0107379 0.0102020 0.0116557 0.0108895 0.0107596 0.0110557 0.0107529 0.0110685 0.0104313 0.0105991 0.0104109 0.0108575 0.0103324 0.0123023 0.0111853 0.0109389 0.0111906 0.0109876 0.0119124 0.0109483 0.0110290 0.0108100 0.0107053 0.0106431 0.0109687 0.0123890 0.0109728 0.0110692 0.0109326 0.0105619 0.0111415 0.0109265 0.0106908 0.0108963 0.0113321 0.0107969 0.0111147 0.0107342 0.0111008 0.0103976 0.0106830 0.0108288 0.0110428 0.0114193 0.0105999 0.0104337 0.0111399 0.0111005 0.0106641 0.0109880 0.0109250 0.0104994 0.0116408 0.0108380 0.0112021 0.0125395 0.0121439 0.0111750 0.0116012 0.0122445 0.0117506 0.0113833 0.0104847 0.0118763 0.0105109 0.0106747 0.0109224 0.0112515 0.0105383 0.0107340 0.0126016 0.0128225 0.0121414 0.0120927 0.0121657 0.0104426
0.0109678 0.0103912 0.0130816 0.0107405 0.0113491 0.0106823 0.0120891 0.0121952 0.0117536 0.0110004 0.0110147 0.0115521 0.0108117 0.0107508 0.0109959 0.0102243 0.0108467 0.0110239 0.0112471 0.0111508 0.0109758 0.0112044 0.0115210 0.0107547 0.0112202 0.0114677 0.0123173 0.0109578 0.0113662 0.0113654 0.0109845 0.0104038 0.0122913 0.0121454 0.0108383 0.0109966 0.0118785 0.0104643 0.0110677 0.0111620 0.0104095 0.0105961 0.0109616 0.0111204 0.0121413 0.0106673 0.0104093 0.0113393 0.0108143 0.0110088 0.0106660 0.0109323 0.0111296 0.0113759 0.0110658 0.0104233 0.0109017 0.0115726 0.0105806 0.0112701 0.0110874 0.0110834 0.0109604 0.0108653 0.0111621 0.0107431 0.0107379 0.0110420 0.0119318 0.0107671 0.0109723 0.0107069 0.0111122 0.0113254 0.0105560 0.0110915 0.0107901 0.0110756 0.0109470 0.0112022 0.0113075 0.0103805 0.0110910 0.0110230 0.0113010 0.0114605 0.0105462 0.0113517 0.0109940 0.0117477
0.0112809 0.0114572 0.0106596 0.0113840 0.0101853 0.0109009 0.0117365 0.0109573 0.0108323 0.0107694 0.0108090 0.0101586 0.0122270 0.0121075 0.0107378 0.0102019 0.0116556 0.0108895 0.0107595 0.0110556 0.0107528 0.0110684 0.0104312 0.0105990 0.0104109 0.0108574 0.0103324 0.0123023 0.0111843 0.0109389 0.0111905 0.0109875 0.0119123 0.0109482 0.0110289 0.0108100 0.0107052 0.0106430 0.0109687 0.0123889 0.0109728 0.0110691 0.0109326 0.0105618 0.0111415 0.0109265 0.0106908 0.0108963 0.0113321 0.0107968 0.0111146 0.0107341 0.0111007 0.0103975 0.0106829 0.0108288 0.0110428 0.0114193 0.0105998 0.0104337 0.0111399 0.0111005 0.0106641 0.0109879 0.0109250 0.0104993 0.0116407 0.0108380 0.0112019 0.0125395 0.0121439 0.0111749 0.0116011 0.0122444 0.0117506 0.0113823 0.0104846 0.0118763 0.0105109 0.0106747 0.0109224 0.0112514 0.0105383 0.0107339 0.0126016 0.0128225 0.0121413 0.0120927 0.0121656 0.0104487
0.0109667 0.0103901 0.0130803 0.0107394 0.0113479 0.0106812 0.0120879 0.0121939 0.0117524 0.0109993 0.0110135 0.0115509 0.0108481 0.0107872 0.0109948 0.0102233 0.0108456 0.0110228 0.0112459 0.0111497 0.0109747 0.0112033 0.0115198 0.0107536 0.0112190 0.0114665 0.0123160 0.0109560 0.0113647 0.0113642 0.0109834 0.0104027 0.0123276 0.0121442 0.0108372 0.0109955 0.0118773 0.0104632 0.0110666 0.0111609 0.0104084 0.0105950 0.0109605 0.0111193 0.0121400 0.0106662 0.0104082 0.0113381 0.0108132 0.0110077 0.0106649 0.0109312 0.0111284 0.0113747 0.0110647 0.0104223 0.0109005 0.0115714 0.0105795 0.0112689 0.0110862 0.0110823 0.0109593 0.0108642 0.0111609 0.0107420 0.0107368 0.0110408 0.0119306 0.0107652 0.0109705 0.0107051 0.0111103 0.0113235 0.0105542 0.0110900 0.0107890 0.0110737 0.0109459 0.0112010 0.0113064 0.0103795 0.0110899 0.0110218 0.0112991 0.0114586 0.0105444 0.0113498 0.0109921 0.0117465
0.0137453 0.0125202 0.0114857 0.0105469 0.0110510 0.0104440 0.0107971 0.0111759 0.0110380 0.0116890 0.0115350 0.0119531 0.0111085 0.0111190 0.0123329 0.0119714 0.0117437 0.0118872 0.0121646 0.0117851 0.0128816 0.0108292 0.0113254 0.0118246 0.0118466 0.0110473 0.0112839 0.0113491 0.0112832 0.0105631 0.0110634 0.0111100 0.0108504 0.0106587 0.0109319 0.0106071 0.0118492 0.0122409 0.0111735 0.0113331 0.0110612 0.0112193 0.0103737 0.0106012 0.0109718 0.0108797 0.0107419 0.0114969 0.0111234 0.0106662 0.0107948 0.0111973 0.0110776 0.0106981 0.0107932 0.0108632 0.0108006 0.0107641 0.0105825 0.0112460 0.0109425 0.0100647 0.0105179 0.0110129 0.0107709 0.0109129 0.0105895 0.0108479 0.0105917 0.0104660 0.0106831 0.0113622 0.0107548 0.0111073 0.0110732 0.0113622 0.0104933 0.0109534 0.0109288 0.0108725 0.0106501 0.0110045 0.0110329 0.0108649 0.0105275 0.0103059 0.0107813 0.0108201 0.0111528 0.0104541
0.0137462 0.0125210 0.0114864 0.0105476 0.0110517 0.0104447 0.0107978 0.0111766 0.0110387 0.0116897 0.0115357 0.0119539 0.0111087 0.0111192 0.0123336 0.0119722 0.0117444 0.0118880 0.0121654 0.0117858 0.0128825 0.0108299 0.0113261 0.0118253 0.0118474 0.0110480 0.0112847 0.0113494 0.0112559 0.0105638 0.0110641 0.0111107 0.0108504 0.0106591 0.0109326 0.0106078 0.0118500 0.0122417 0.0111743 0.0113338 0.0110619 0.0112200 0.0103743 0.0106019 0.0109725 0.0108804 0.0107425 0.0114976 0.0111241 0.0106669 0.0107954 0.0111980 0.0110783 0.0106988 0.0107939 0.0108639 0.0108013 0.0107648 0.0105831 0.0112467 0.0109432 0.0100654 0.0105186 0.0110136 0.0107716 0.0109136 0.0105902 0.0108486 0.0105921 0.0104662 0.0106834 0.0113625 0.0107551 0.0111076 0.0110735 0.0113349 0.0104940 0.0109537 0.0109295 0.0108732 0.0106508 0.0110052 0.0110336 0.0108656 0.0105277 0.0103061 0.0107815 0.0108204 0.0111531 0.0104544
