sender	time
6 2.76
5 3.27
1 5.78
5 6.78
5 8.29
6 9.30
5 10.80
6 11.31
3 12.31
3 18.34
4 18.84
6 19.85
2 20.85
5 21.86
2 22.36
5 23.87
2 24.37
6 27.39
4 28.39
2 28.89
4 30.40
6 30.90
4 31.91
2 36.43
1 37.94
1 38.94
4 39.45
2 40.45
7 40.95
1 41.96
4 42.46
7 42.96
1 43.97
2 44.97
3 45.98
2 46.98
2 49.50
2 52.51
3 55.03
2 55.53
4 56.53
1 59.05
3 59.55
1 60.05
3 62.06
1 63.57
3 65.58
1 66.08
2 66.58
1 69.60
2 72.11
1 76.13
2 77.14
1 78.64
3 79.65
1 80.65
2 81.16
4 83.17
2 83.67
1 84.17
4 85.18
1 86.18
4 86.68
1 87.19
3 88.69
1 89.20
3 90.20
1 90.70
1 93.22
3 94.22
1 94.72
4 95.73
3 96.23
2 96.73
1 97.24
2 97.74
3 98.24
1 99.75
